subject,subject,roi,centrality
sub-pl007,sub-pl007,0,0.0
sub-pl007,sub-pl007,1,78.0
sub-pl007,sub-pl007,2,368.0
sub-pl007,sub-pl007,3,130.0
sub-pl007,sub-pl007,4,0.0
sub-pl007,sub-pl007,5,272.0
sub-pl007,sub-pl007,6,1328.0
sub-pl007,sub-pl007,7,0.0
sub-pl007,sub-pl007,8,10734.0
sub-pl007,sub-pl007,9,24.0
sub-pl007,sub-pl007,10,3418.0
sub-pl007,sub-pl007,11,1462.0
sub-pl007,sub-pl007,12,3440.0
sub-pl007,sub-pl007,13,38.0
sub-pl007,sub-pl007,14,2612.0
sub-pl007,sub-pl007,15,156.0
sub-pl007,sub-pl007,16,56.0
sub-pl007,sub-pl007,17,116.0
sub-pl007,sub-pl007,18,370.0
sub-pl007,sub-pl007,19,2.0
sub-pl007,sub-pl007,20,1266.0
sub-pl007,sub-pl007,21,2924.0
sub-pl007,sub-pl007,22,76.0
sub-pl007,sub-pl007,23,6.0
sub-pl007,sub-pl007,24,2148.0
sub-pl007,sub-pl007,25,0.0
sub-pl007,sub-pl007,26,154.0
sub-pl007,sub-pl007,27,62.0
sub-pl007,sub-pl007,28,32.0
sub-pl007,sub-pl007,29,354.0
sub-pl007,sub-pl007,30,4.0
sub-pl007,sub-pl007,31,0.0
sub-pl007,sub-pl007,32,2.0
sub-pl007,sub-pl007,33,322.0
sub-pl007,sub-pl007,34,0.0
sub-pl007,sub-pl007,35,68.0
sub-pl007,sub-pl007,36,26.0
sub-pl007,sub-pl007,37,274.0
sub-pl007,sub-pl007,38,0.0
sub-pl007,sub-pl007,39,36.0
sub-pl007,sub-pl007,40,342.0
sub-pl007,sub-pl007,41,0.0
sub-pl007,sub-pl007,42,2.0
sub-pl007,sub-pl007,43,202.0
sub-pl007,sub-pl007,44,1594.0
sub-pl007,sub-pl007,45,262.0
sub-pl007,sub-pl007,46,1460.0
sub-pl007,sub-pl007,47,440.0
sub-pl007,sub-pl007,48,726.0
sub-pl007,sub-pl007,49,292.0
sub-pl007,sub-pl007,50,918.0
sub-pl007,sub-pl007,51,1360.0
sub-pl007,sub-pl007,52,28.0
sub-pl007,sub-pl007,53,9104.0
sub-pl007,sub-pl007,54,2244.0
sub-pl007,sub-pl007,55,1206.0
sub-pl007,sub-pl007,56,0.0
sub-pl007,sub-pl007,57,32.0
sub-pl007,sub-pl007,58,4958.0
sub-pl007,sub-pl007,59,2666.0
sub-pl007,sub-pl007,60,50.0
sub-pl007,sub-pl007,61,16.0
sub-pl007,sub-pl007,62,720.0
sub-pl007,sub-pl007,63,702.0
sub-pl007,sub-pl007,64,0.0
sub-pl007,sub-pl007,65,550.0
sub-pl007,sub-pl007,66,0.0
sub-pl007,sub-pl007,67,814.0
sub-pl007,sub-pl007,68,130.0
sub-pl007,sub-pl007,69,430.0
sub-pl007,sub-pl007,70,910.0
sub-pl007,sub-pl007,71,0.0
sub-pl007,sub-pl007,72,630.0
sub-pl007,sub-pl007,73,464.0
sub-pl007,sub-pl007,74,380.0
sub-pl007,sub-pl007,75,0.0
sub-pl007,sub-pl007,76,0.0
sub-pl007,sub-pl007,77,824.0
sub-pl007,sub-pl007,78,310.0
sub-pl007,sub-pl007,79,2.0
sub-pl007,sub-pl007,80,116.0
sub-pl007,sub-pl007,81,1578.0
sub-pl007,sub-pl007,82,1222.0
sub-pl007,sub-pl007,83,10.0
sub-pl007,sub-pl007,84,38.0
sub-pl007,sub-pl007,85,0.0
sub-pl007,sub-pl007,86,1090.0
sub-pl007,sub-pl007,87,0.0
sub-pl007,sub-pl007,88,0.0
sub-pl007,sub-pl007,89,0.0
sub-pl007,sub-pl007,90,0.0
sub-pl007,sub-pl007,91,0.0
sub-pl007,sub-pl007,92,0.0
sub-pl007,sub-pl007,93,0.0
sub-pl007,sub-pl007,94,6.0
sub-pl007,sub-pl007,95,3224.0
sub-pl007,sub-pl007,96,0.0
sub-pl007,sub-pl007,97,0.0
sub-pl007,sub-pl007,98,0.0
sub-pl007,sub-pl007,99,3224.0
sub-pl007,sub-pl007,100,0.0
sub-pl007,sub-pl007,101,72.0
sub-pl007,sub-pl007,102,842.0
sub-pl007,sub-pl007,103,0.0
sub-pl007,sub-pl007,104,246.0
sub-pl007,sub-pl007,105,0.0
sub-pl007,sub-pl007,106,0.0
sub-pl007,sub-pl007,107,20.0
sub-pl007,sub-pl007,108,0.0
sub-pl007,sub-pl007,109,0.0
sub-pl007,sub-pl007,110,0.0
sub-pl007,sub-pl007,111,2.0
sub-pl007,sub-pl007,112,0.0
sub-pl007,sub-pl007,113,0.0
sub-pl007,sub-pl007,114,0.0
sub-pl007,sub-pl007,115,0.0
sub-pl007,sub-pl007,116,0.0
sub-pl007,sub-pl007,117,0.0
sub-pl007,sub-pl007,118,440.0
sub-pl007,sub-pl007,119,874.0
sub-pl007,sub-pl007,120,0.0
sub-pl007,sub-pl007,121,26.0
sub-pl007,sub-pl007,122,260.0
sub-pl007,sub-pl007,123,4.0
sub-pl007,sub-pl007,124,8418.0
sub-pl007,sub-pl007,125,0.0
sub-pl007,sub-pl007,126,0.0
sub-pl007,sub-pl007,127,13880.0
sub-pl007,sub-pl007,128,0.0
sub-pl007,sub-pl007,129,0.0
sub-pl007,sub-pl007,130,0.0
sub-pl007,sub-pl007,131,0.0
sub-pl007,sub-pl007,132,444.0
sub-pl007,sub-pl007,133,332.0
sub-pl007,sub-pl007,134,0.0
sub-pl007,sub-pl007,135,1404.0
sub-pl007,sub-pl007,136,2372.0
sub-pl007,sub-pl007,137,1084.0
sub-pl007,sub-pl007,138,244.0
sub-pl007,sub-pl007,139,30.0
sub-pl007,sub-pl007,140,544.0
sub-pl007,sub-pl007,141,3496.0
sub-pl007,sub-pl007,142,874.0
sub-pl007,sub-pl007,143,10.0
sub-pl007,sub-pl007,144,472.0
sub-pl007,sub-pl007,145,560.0
sub-pl007,sub-pl007,146,0.0
sub-pl007,sub-pl007,147,864.0
sub-pl007,sub-pl007,148,4158.0
sub-pl007,sub-pl007,149,18.0
sub-pl007,sub-pl007,150,10174.0
sub-pl007,sub-pl007,151,2802.0
sub-pl007,sub-pl007,152,0.0
sub-pl007,sub-pl007,153,0.0
sub-pl007,sub-pl007,154,118.0
sub-pl007,sub-pl007,155,0.0
sub-pl007,sub-pl007,156,2446.0
sub-pl007,sub-pl007,157,1720.0
sub-pl007,sub-pl007,158,0.0
sub-pl007,sub-pl007,159,0.0
sub-pl007,sub-pl007,160,192.0
sub-pl007,sub-pl007,161,4.0
sub-pl007,sub-pl007,162,14.0
sub-pl007,sub-pl007,163,1138.0
sub-pl007,sub-pl007,164,2962.0
sub-pl007,sub-pl007,165,980.0
sub-pl007,sub-pl007,166,1018.0
sub-pl007,sub-pl007,167,44.0
sub-pl007,sub-pl007,168,126.0
sub-pl007,sub-pl007,169,28.0
sub-pl007,sub-pl007,170,1014.0
sub-pl007,sub-pl007,171,654.0
sub-pl007,sub-pl007,172,1188.0
sub-pl007,sub-pl007,173,178.0
sub-pl007,sub-pl007,174,0.0
sub-pl007,sub-pl007,175,404.0
sub-pl007,sub-pl007,176,226.0
sub-pl007,sub-pl007,177,690.0
sub-pl007,sub-pl007,178,856.0
sub-pl007,sub-pl007,179,32.0
sub-pl007,sub-pl007,180,5834.0
sub-pl007,sub-pl007,181,1156.0
sub-pl007,sub-pl007,182,6430.0
sub-pl007,sub-pl007,183,0.0
sub-pl007,sub-pl007,184,0.0
sub-pl007,sub-pl007,185,0.0
sub-pl007,sub-pl007,186,8374.0
sub-pl007,sub-pl007,187,0.0
sub-pl007,sub-pl007,188,0.0
sub-pl007,sub-pl007,189,0.0
sub-pl007,sub-pl007,190,0.0
sub-pl007,sub-pl007,191,0.0
sub-pl007,sub-pl007,192,0.0
sub-pl007,sub-pl007,193,0.0
sub-pl007,sub-pl007,194,436.0
sub-pl007,sub-pl007,195,32.0
sub-pl007,sub-pl007,196,1104.0
sub-pl007,sub-pl007,197,0.0
sub-pl007,sub-pl007,198,9042.0
sub-pl007,sub-pl007,199,440.0
sub-pl007,sub-pl007,200,854.0
sub-pl007,sub-pl007,201,440.0
sub-pl007,sub-pl007,202,0.0
sub-pl007,sub-pl007,203,1508.0
sub-pl007,sub-pl007,204,0.0
sub-pl007,sub-pl007,205,0.0
sub-pl007,sub-pl007,206,144.0
sub-pl007,sub-pl007,207,0.0
sub-pl007,sub-pl007,208,418.0
sub-pl007,sub-pl007,209,6.0
sub-pl007,sub-pl007,210,2754.0
sub-pl007,sub-pl007,211,416.0
sub-pl007,sub-pl007,212,10472.0
sub-pl007,sub-pl007,213,0.0
sub-pl007,sub-pl007,214,21546.0
sub-pl007,sub-pl007,215,518.0
sub-pl007,sub-pl007,216,10.0
sub-pl007,sub-pl007,217,0.0
