subject,roi,centrality
sub-pl007,0,1990.0
sub-pl007,1,940.0
sub-pl007,2,154.0
sub-pl007,3,0.0
sub-pl007,4,2.0
sub-pl007,5,208.0
sub-pl007,6,204.0
sub-pl007,7,0.0
sub-pl007,8,3096.0
sub-pl007,9,240.0
sub-pl007,10,1778.0
sub-pl007,11,1294.0
sub-pl007,12,1294.0
sub-pl007,13,1326.0
sub-pl007,14,2592.0
sub-pl007,15,1032.0
sub-pl007,16,6.0
sub-pl007,17,2920.0
sub-pl007,18,14.0
sub-pl007,19,96.0
sub-pl007,20,796.0
sub-pl007,21,3148.0
sub-pl007,22,0.0
sub-pl007,23,2016.0
sub-pl007,24,5106.0
sub-pl007,25,1896.0
sub-pl007,26,1058.0
sub-pl007,27,0.0
sub-pl007,28,738.0
sub-pl007,29,686.0
sub-pl007,30,334.0
sub-pl007,31,0.0
sub-pl007,32,0.0
sub-pl007,33,1524.0
sub-pl007,34,0.0
sub-pl007,35,90.0
sub-pl007,36,1026.0
sub-pl007,37,812.0
sub-pl007,38,2.0
sub-pl007,39,0.0
sub-pl007,40,5468.0
sub-pl007,41,2.0
sub-pl007,42,506.0
sub-pl007,43,944.0
sub-pl007,44,5286.0
sub-pl007,45,262.0
sub-pl007,46,202.0
sub-pl007,47,440.0
sub-pl007,48,656.0
sub-pl007,49,0.0
sub-pl007,50,1354.0
sub-pl007,51,132.0
sub-pl007,52,1614.0
sub-pl007,53,1280.0
sub-pl007,54,368.0
sub-pl007,55,284.0
sub-pl007,56,1408.0
sub-pl007,57,260.0
sub-pl007,58,200.0
sub-pl007,59,0.0
sub-pl007,60,0.0
sub-pl007,61,168.0
sub-pl007,62,510.0
sub-pl007,63,8.0
sub-pl007,64,0.0
sub-pl007,65,1232.0
sub-pl007,66,0.0
sub-pl007,67,322.0
sub-pl007,68,0.0
sub-pl007,69,40.0
sub-pl007,70,34.0
sub-pl007,71,0.0
sub-pl007,72,0.0
sub-pl007,73,1124.0
sub-pl007,74,436.0
sub-pl007,75,0.0
sub-pl007,76,0.0
sub-pl007,77,1638.0
sub-pl007,78,126.0
sub-pl007,79,0.0
sub-pl007,80,2098.0
sub-pl007,81,2040.0
sub-pl007,82,806.0
sub-pl007,83,84.0
sub-pl007,84,90.0
sub-pl007,85,96.0
sub-pl007,86,972.0
sub-pl007,87,0.0
sub-pl007,88,0.0
sub-pl007,89,0.0
sub-pl007,90,0.0
sub-pl007,91,14.0
sub-pl007,92,10.0
sub-pl007,93,0.0
sub-pl007,94,124.0
sub-pl007,95,2066.0
sub-pl007,96,0.0
sub-pl007,97,0.0
sub-pl007,98,8.0
sub-pl007,99,456.0
sub-pl007,100,16.0
sub-pl007,101,0.0
sub-pl007,102,748.0
sub-pl007,103,560.0
sub-pl007,104,1164.0
sub-pl007,105,6.0
sub-pl007,106,436.0
sub-pl007,107,730.0
sub-pl007,108,0.0
sub-pl007,109,0.0
sub-pl007,110,0.0
sub-pl007,111,4.0
sub-pl007,112,18.0
sub-pl007,113,12.0
sub-pl007,114,0.0
sub-pl007,115,0.0
sub-pl007,116,0.0
sub-pl007,117,0.0
sub-pl007,118,0.0
sub-pl007,119,814.0
