subject,roi,centrality
sub-pl007,0,42.0
sub-pl007,1,700.0
sub-pl007,2,0.0
sub-pl007,3,0.0
sub-pl007,4,1398.0
sub-pl007,5,100.0
sub-pl007,6,1392.0
sub-pl007,7,70.0
sub-pl007,8,5242.0
sub-pl007,9,40.0
sub-pl007,10,2700.0
sub-pl007,11,4024.0
sub-pl007,12,748.0
sub-pl007,13,754.0
sub-pl007,14,478.0
sub-pl007,15,876.0
sub-pl007,16,0.0
sub-pl007,17,90.0
sub-pl007,18,198.0
sub-pl007,19,0.0
sub-pl007,20,4232.0
sub-pl007,21,2610.0
sub-pl007,22,0.0
sub-pl007,23,946.0
sub-pl007,24,734.0
sub-pl007,25,1844.0
sub-pl007,26,1178.0
sub-pl007,27,2.0
sub-pl007,28,146.0
sub-pl007,29,1246.0
sub-pl007,30,576.0
sub-pl007,31,56.0
sub-pl007,32,160.0
sub-pl007,33,616.0
sub-pl007,34,0.0
sub-pl007,35,1058.0
sub-pl007,36,2178.0
sub-pl007,37,254.0
sub-pl007,38,0.0
sub-pl007,39,0.0
sub-pl007,40,1946.0
sub-pl007,41,22.0
sub-pl007,42,574.0
sub-pl007,43,44.0
sub-pl007,44,3276.0
sub-pl007,45,218.0
sub-pl007,46,546.0
sub-pl007,47,502.0
sub-pl007,48,1062.0
sub-pl007,49,510.0
sub-pl007,50,498.0
sub-pl007,51,156.0
sub-pl007,52,366.0
sub-pl007,53,1312.0
sub-pl007,54,1218.0
sub-pl007,55,412.0
sub-pl007,56,5440.0
sub-pl007,57,1660.0
sub-pl007,58,960.0
sub-pl007,59,230.0
sub-pl007,60,36.0
sub-pl007,61,24.0
sub-pl007,62,1000.0
sub-pl007,63,2194.0
sub-pl007,64,226.0
sub-pl007,65,92.0
sub-pl007,66,130.0
sub-pl007,67,26.0
sub-pl007,68,908.0
sub-pl007,69,0.0
sub-pl007,70,2.0
sub-pl007,71,0.0
sub-pl007,72,560.0
sub-pl007,73,3072.0
sub-pl007,74,1490.0
sub-pl007,75,0.0
sub-pl007,76,0.0
sub-pl007,77,1110.0
sub-pl007,78,136.0
sub-pl007,79,20.0
sub-pl007,80,422.0
sub-pl007,81,48.0
sub-pl007,82,1410.0
sub-pl007,83,518.0
sub-pl007,84,0.0
sub-pl007,85,356.0
sub-pl007,86,4.0
sub-pl007,87,0.0
sub-pl007,88,0.0
sub-pl007,89,0.0
sub-pl007,90,0.0
sub-pl007,91,32.0
sub-pl007,92,438.0
sub-pl007,93,68.0
sub-pl007,94,174.0
sub-pl007,95,3552.0
sub-pl007,96,684.0
sub-pl007,97,0.0
sub-pl007,98,12.0
sub-pl007,99,62.0
sub-pl007,100,0.0
sub-pl007,101,430.0
sub-pl007,102,66.0
sub-pl007,103,20.0
sub-pl007,104,1808.0
sub-pl007,105,132.0
sub-pl007,106,22.0
sub-pl007,107,34.0
sub-pl007,108,692.0
sub-pl007,109,34.0
sub-pl007,110,0.0
sub-pl007,111,0.0
sub-pl007,112,506.0
sub-pl007,113,4.0
sub-pl007,114,0.0
sub-pl007,115,0.0
sub-pl007,116,0.0
sub-pl007,117,0.0
sub-pl007,118,440.0
sub-pl007,119,470.0
sub-pl007,120,0.0
sub-pl007,121,0.0
sub-pl007,122,0.0
sub-pl007,123,8.0
sub-pl007,124,0.0
sub-pl007,125,0.0
sub-pl007,126,642.0
sub-pl007,127,9308.0
sub-pl007,128,1820.0
sub-pl007,129,128.0
sub-pl007,130,0.0
sub-pl007,131,102.0
sub-pl007,132,0.0
sub-pl007,133,284.0
sub-pl007,134,802.0
sub-pl007,135,2232.0
sub-pl007,136,954.0
sub-pl007,137,2320.0
sub-pl007,138,0.0
sub-pl007,139,1844.0
sub-pl007,140,1404.0
sub-pl007,141,7210.0
sub-pl007,142,520.0
sub-pl007,143,368.0
sub-pl007,144,866.0
sub-pl007,145,154.0
sub-pl007,146,0.0
sub-pl007,147,854.0
sub-pl007,148,820.0
sub-pl007,149,1024.0
sub-pl007,150,11694.0
sub-pl007,151,1328.0
sub-pl007,152,0.0
sub-pl007,153,40.0
sub-pl007,154,0.0
sub-pl007,155,550.0
sub-pl007,156,2406.0
sub-pl007,157,8.0
sub-pl007,158,0.0
sub-pl007,159,526.0
sub-pl007,160,74.0
sub-pl007,161,0.0
sub-pl007,162,406.0
sub-pl007,163,758.0
sub-pl007,164,550.0
sub-pl007,165,812.0
sub-pl007,166,1104.0
sub-pl007,167,302.0
sub-pl007,168,1566.0
sub-pl007,169,1180.0
sub-pl007,170,0.0
sub-pl007,171,394.0
sub-pl007,172,2124.0
