subject,roi,centrality
sub-pl002,0,1370.0
sub-pl002,1,710.0
sub-pl002,2,352.0
sub-pl002,3,168.0
sub-pl002,4,0.0
sub-pl002,5,544.0
sub-pl002,6,1974.0
sub-pl002,7,554.0
sub-pl002,8,258.0
sub-pl002,9,640.0
sub-pl002,10,984.0
sub-pl002,11,2.0
sub-pl002,12,3034.0
sub-pl002,13,1730.0
sub-pl002,14,2.0
sub-pl002,15,828.0
sub-pl002,16,280.0
sub-pl002,17,388.0
sub-pl002,18,52.0
sub-pl002,19,0.0
sub-pl002,20,9294.0
sub-pl002,21,80.0
sub-pl002,22,144.0
sub-pl002,23,2520.0
sub-pl002,24,434.0
sub-pl002,25,3718.0
sub-pl002,26,52.0
sub-pl002,27,1100.0
sub-pl002,28,26.0
sub-pl002,29,0.0
sub-pl002,30,98.0
sub-pl002,31,6.0
sub-pl002,32,18.0
sub-pl002,33,12.0
sub-pl002,34,182.0
sub-pl002,35,92.0
sub-pl002,36,504.0
sub-pl002,37,1278.0
sub-pl002,38,2.0
sub-pl002,39,176.0
sub-pl002,40,10.0
sub-pl002,41,46.0
sub-pl002,42,2062.0
sub-pl002,43,0.0
sub-pl002,44,1722.0
sub-pl002,45,40.0
sub-pl002,46,34.0
sub-pl002,47,938.0
sub-pl002,48,1600.0
sub-pl002,49,4.0
sub-pl002,50,284.0
sub-pl002,51,546.0
sub-pl002,52,398.0
sub-pl002,53,2214.0
sub-pl002,54,904.0
sub-pl002,55,548.0
sub-pl002,56,1704.0
sub-pl002,57,282.0
sub-pl002,58,208.0
sub-pl002,59,1396.0
sub-pl002,60,0.0
sub-pl002,61,16.0
sub-pl002,62,28.0
sub-pl002,63,0.0
sub-pl002,64,6.0
sub-pl002,65,28.0
sub-pl002,66,2.0
sub-pl002,67,1248.0
sub-pl002,68,0.0
sub-pl002,69,0.0
sub-pl002,70,0.0
sub-pl002,71,0.0
sub-pl002,72,0.0
sub-pl002,73,868.0
sub-pl002,74,0.0
sub-pl002,75,0.0
sub-pl002,76,66.0
sub-pl002,77,98.0
sub-pl002,78,446.0
sub-pl002,79,0.0
sub-pl002,80,806.0
sub-pl002,81,0.0
sub-pl002,82,676.0
sub-pl002,83,1210.0
sub-pl002,84,12.0
sub-pl002,85,0.0
sub-pl002,86,632.0
sub-pl002,87,20.0
sub-pl002,88,0.0
sub-pl002,89,2.0
sub-pl002,90,424.0
sub-pl002,91,0.0
sub-pl002,92,34.0
sub-pl002,93,168.0
sub-pl002,94,440.0
sub-pl002,95,1550.0
sub-pl002,96,0.0
sub-pl002,97,0.0
sub-pl002,98,0.0
sub-pl002,99,438.0
sub-pl002,100,2.0
sub-pl002,101,0.0
sub-pl002,102,366.0
sub-pl002,103,30.0
sub-pl002,104,34.0
sub-pl002,105,0.0
sub-pl002,106,0.0
sub-pl002,107,268.0
sub-pl002,108,0.0
sub-pl002,109,0.0
sub-pl002,110,0.0
sub-pl002,111,0.0
sub-pl002,112,20.0
sub-pl002,113,0.0
sub-pl002,114,0.0
sub-pl002,115,0.0
sub-pl002,116,0.0
sub-pl002,117,0.0
sub-pl002,118,6.0
sub-pl002,119,0.0
sub-pl002,120,0.0
sub-pl002,121,0.0
sub-pl002,122,0.0
sub-pl002,123,0.0
sub-pl002,124,0.0
sub-pl002,125,214.0
sub-pl002,126,22.0
sub-pl002,127,3154.0
sub-pl002,128,1826.0
sub-pl002,129,30.0
sub-pl002,130,4548.0
sub-pl002,131,340.0
sub-pl002,132,0.0
sub-pl002,133,0.0
sub-pl002,134,54.0
sub-pl002,135,6696.0
sub-pl002,136,754.0
sub-pl002,137,434.0
sub-pl002,138,38.0
sub-pl002,139,590.0
sub-pl002,140,140.0
sub-pl002,141,3512.0
sub-pl002,142,1486.0
sub-pl002,143,0.0
sub-pl002,144,2246.0
sub-pl002,145,2.0
sub-pl002,146,0.0
sub-pl002,147,84.0
sub-pl002,148,150.0
sub-pl002,149,1436.0
sub-pl002,150,452.0
sub-pl002,151,708.0
sub-pl002,152,0.0
sub-pl002,153,680.0
sub-pl002,154,11356.0
sub-pl002,155,11628.0
sub-pl002,156,414.0
sub-pl002,157,112.0
sub-pl002,158,304.0
sub-pl002,159,4.0
sub-pl002,160,120.0
sub-pl002,161,0.0
sub-pl002,162,434.0
sub-pl002,163,3306.0
sub-pl002,164,32.0
sub-pl002,165,692.0
sub-pl002,166,1118.0
sub-pl002,167,572.0
sub-pl002,168,2036.0
sub-pl002,169,14.0
sub-pl002,170,0.0
sub-pl002,171,1936.0
sub-pl002,172,0.0
sub-pl002,173,8618.0
sub-pl002,174,288.0
sub-pl002,175,0.0
sub-pl002,176,0.0
sub-pl002,177,1032.0
sub-pl002,178,970.0
sub-pl002,179,14.0
sub-pl002,180,2138.0
sub-pl002,181,9726.0
sub-pl002,182,4.0
sub-pl002,183,20.0
sub-pl002,184,296.0
sub-pl002,185,346.0
sub-pl002,186,1386.0
sub-pl002,187,0.0
sub-pl002,188,574.0
sub-pl002,189,0.0
sub-pl002,190,0.0
sub-pl002,191,0.0
sub-pl002,192,1104.0
sub-pl002,193,0.0
sub-pl002,194,20.0
sub-pl002,195,438.0
sub-pl002,196,466.0
sub-pl002,197,1586.0
sub-pl002,198,346.0
sub-pl002,199,866.0
sub-pl002,200,66.0
sub-pl002,201,0.0
sub-pl002,202,268.0
sub-pl002,203,0.0
sub-pl002,204,0.0
sub-pl002,205,440.0
sub-pl002,206,0.0
sub-pl002,207,5074.0
sub-pl002,208,332.0
sub-pl002,209,184.0
sub-pl002,210,11134.0
sub-pl002,211,0.0
sub-pl002,212,4332.0
sub-pl002,213,0.0
sub-pl002,214,20574.0
sub-pl002,215,1960.0
sub-pl002,216,0.0
sub-pl002,217,0.0
sub-pl002,218,9634.0
sub-pl002,219,452.0
sub-pl002,220,566.0
sub-pl002,221,0.0
sub-pl002,222,6138.0
sub-pl002,223,0.0
sub-pl002,224,0.0
sub-pl006,0,754.0
sub-pl006,1,80.0
sub-pl006,2,1698.0
sub-pl006,3,0.0
sub-pl006,4,0.0
sub-pl006,5,1446.0
sub-pl006,6,8.0
sub-pl006,7,148.0
sub-pl006,8,132.0
sub-pl006,9,2.0
sub-pl006,10,1820.0
sub-pl006,11,312.0
sub-pl006,12,434.0
sub-pl006,13,856.0
sub-pl006,14,1490.0
sub-pl006,15,144.0
sub-pl006,16,1114.0
sub-pl006,17,0.0
sub-pl006,18,550.0
sub-pl006,19,18.0
sub-pl006,20,2512.0
sub-pl006,21,2322.0
sub-pl006,22,0.0
sub-pl006,23,2754.0
sub-pl006,24,298.0
sub-pl006,25,1478.0
sub-pl006,26,0.0
sub-pl006,27,20.0
sub-pl006,28,74.0
sub-pl006,29,0.0
sub-pl006,30,352.0
sub-pl006,31,0.0
sub-pl006,32,990.0
sub-pl006,33,0.0
sub-pl006,34,0.0
sub-pl006,35,0.0
sub-pl006,36,586.0
sub-pl006,37,64.0
sub-pl006,38,2.0
sub-pl006,39,2.0
sub-pl006,40,0.0
sub-pl006,41,10.0
sub-pl006,42,216.0
sub-pl006,43,0.0
sub-pl006,44,1582.0
sub-pl006,45,608.0
sub-pl006,46,20.0
sub-pl006,47,1450.0
sub-pl006,48,1112.0
sub-pl006,49,8.0
sub-pl006,50,2808.0
sub-pl006,51,12.0
sub-pl006,52,570.0
sub-pl006,53,0.0
sub-pl006,54,20.0
sub-pl006,55,1020.0
sub-pl006,56,452.0
sub-pl006,57,1658.0
sub-pl006,58,524.0
sub-pl006,59,166.0
sub-pl006,60,0.0
sub-pl006,61,74.0
sub-pl006,62,1176.0
sub-pl006,63,16.0
sub-pl006,64,0.0
sub-pl006,65,2.0
sub-pl006,66,10.0
sub-pl006,67,722.0
sub-pl006,68,434.0
sub-pl006,69,0.0
sub-pl006,70,6.0
sub-pl006,71,8.0
sub-pl006,72,250.0
sub-pl006,73,126.0
sub-pl006,74,0.0
sub-pl006,75,0.0
sub-pl006,76,0.0
sub-pl006,77,1824.0
sub-pl006,78,192.0
