subject,roi,centrality
sub-pl002,0,2264.0
sub-pl002,1,1428.0
sub-pl002,2,42.0
sub-pl002,3,986.0
sub-pl002,4,822.0
sub-pl002,5,524.0
sub-pl002,6,1572.0
sub-pl002,7,1234.0
sub-pl002,8,1036.0
sub-pl002,9,598.0
sub-pl002,10,442.0
sub-pl002,11,0.0
sub-pl002,12,1142.0
sub-pl002,13,248.0
sub-pl002,14,0.0
sub-pl002,15,990.0
sub-pl002,16,882.0
sub-pl002,17,426.0
sub-pl002,18,6.0
sub-pl002,19,0.0
sub-pl002,20,6550.0
sub-pl002,21,0.0
sub-pl002,22,1108.0
sub-pl002,23,838.0
sub-pl002,24,380.0
sub-pl002,25,1376.0
sub-pl002,26,388.0
sub-pl002,27,1136.0
sub-pl002,28,452.0
sub-pl002,29,0.0
sub-pl002,30,36.0
sub-pl002,31,2.0
sub-pl002,32,500.0
sub-pl002,33,48.0
sub-pl002,34,2.0
sub-pl002,35,56.0
sub-pl002,36,78.0
sub-pl002,37,586.0
sub-pl002,38,0.0
sub-pl002,39,0.0
sub-pl002,40,0.0
sub-pl002,41,18.0
sub-pl002,42,2766.0
sub-pl002,43,0.0
sub-pl002,44,1810.0
sub-pl002,45,10.0
sub-pl002,46,2.0
sub-pl002,47,438.0
sub-pl002,48,934.0
sub-pl002,49,1634.0
sub-pl002,50,7812.0
sub-pl002,51,432.0
sub-pl002,52,0.0
sub-pl002,53,6616.0
sub-pl002,54,1408.0
sub-pl002,55,584.0
sub-pl002,56,1490.0
sub-pl002,57,24.0
sub-pl002,58,4054.0
sub-pl002,59,2596.0
sub-pl002,60,4.0
sub-pl002,61,0.0
sub-pl002,62,24.0
sub-pl002,63,134.0
sub-pl002,64,0.0
sub-pl002,65,0.0
sub-pl002,66,0.0
sub-pl002,67,1626.0
sub-pl002,68,0.0
sub-pl002,69,874.0
sub-pl002,70,232.0
sub-pl002,71,2.0
sub-pl002,72,2.0
sub-pl002,73,1302.0
sub-pl002,74,58.0
sub-pl002,75,0.0
sub-pl002,76,0.0
sub-pl002,77,0.0
sub-pl002,78,1022.0
sub-pl002,79,0.0
sub-pl002,80,732.0
sub-pl002,81,526.0
sub-pl002,82,288.0
sub-pl002,83,306.0
sub-pl002,84,94.0
sub-pl002,85,0.0
sub-pl002,86,248.0
sub-pl002,87,14.0
sub-pl002,88,0.0
sub-pl002,89,2.0
sub-pl002,90,438.0
sub-pl002,91,0.0
sub-pl002,92,36.0
sub-pl002,93,0.0
sub-pl002,94,390.0
sub-pl002,95,1586.0
sub-pl002,96,528.0
sub-pl002,97,0.0
sub-pl002,98,0.0
sub-pl002,99,0.0
sub-pl002,100,98.0
sub-pl002,101,0.0
sub-pl002,102,420.0
sub-pl002,103,0.0
sub-pl002,104,4.0
sub-pl002,105,0.0
sub-pl002,106,0.0
sub-pl002,107,0.0
sub-pl002,108,0.0
sub-pl002,109,0.0
sub-pl002,110,0.0
sub-pl002,111,0.0
sub-pl002,112,28.0
sub-pl002,113,0.0
sub-pl002,114,0.0
sub-pl002,115,0.0
sub-pl002,116,0.0
sub-pl002,117,0.0
sub-pl002,118,440.0
sub-pl002,119,0.0
sub-pl002,120,0.0
sub-pl002,121,0.0
sub-pl002,122,440.0
sub-pl002,123,434.0
sub-pl002,124,0.0
sub-pl002,125,20.0
sub-pl002,126,896.0
sub-pl002,127,3606.0
sub-pl002,128,1648.0
sub-pl002,129,732.0
sub-pl002,130,5160.0
sub-pl002,131,0.0
sub-pl002,132,0.0
sub-pl002,133,0.0
sub-pl002,134,0.0
sub-pl002,135,3828.0
sub-pl002,136,864.0
sub-pl002,137,2726.0
sub-pl002,138,22.0
sub-pl002,139,620.0
sub-pl002,140,0.0
sub-pl002,141,4702.0
sub-pl002,142,788.0
sub-pl002,143,434.0
sub-pl002,144,1024.0
sub-pl002,145,2.0
sub-pl002,146,386.0
sub-pl002,147,52.0
sub-pl002,148,432.0
sub-pl002,149,1190.0
sub-pl002,150,2012.0
sub-pl002,151,880.0
sub-pl002,152,0.0
sub-pl002,153,198.0
sub-pl002,154,1200.0
sub-pl002,155,13566.0
