subject,roi,centrality
sub-pl002,0,5978.0
sub-pl002,1,326.0
sub-pl002,2,720.0
sub-pl002,3,1696.0
sub-pl002,4,0.0
sub-pl002,5,522.0
sub-pl002,6,5660.0
sub-pl002,7,894.0
sub-pl002,8,174.0
sub-pl002,9,1250.0
sub-pl002,10,314.0
sub-pl002,11,34.0
sub-pl002,12,164.0
sub-pl002,13,18.0
sub-pl002,14,470.0
sub-pl002,15,2126.0
sub-pl002,16,1586.0
sub-pl002,17,76.0
sub-pl002,18,14.0
sub-pl002,19,450.0
sub-pl002,20,1448.0
sub-pl002,21,0.0
sub-pl002,22,130.0
sub-pl002,23,1460.0
sub-pl002,24,742.0
sub-pl002,25,10546.0
sub-pl002,26,98.0
sub-pl002,27,538.0
sub-pl002,28,0.0
sub-pl002,29,4584.0
sub-pl002,30,5444.0
sub-pl002,31,0.0
sub-pl002,32,0.0
sub-pl002,33,0.0
sub-pl002,34,26.0
sub-pl002,35,364.0
sub-pl002,36,522.0
sub-pl002,37,5754.0
sub-pl002,38,174.0
sub-pl002,39,0.0
sub-pl002,40,34.0
sub-pl002,41,0.0
sub-pl002,42,966.0
sub-pl002,43,0.0
sub-pl002,44,1180.0
sub-pl002,45,2958.0
sub-pl002,46,340.0
sub-pl002,47,926.0
sub-pl002,48,1932.0
sub-pl002,49,0.0
sub-pl002,50,0.0
sub-pl002,51,2.0
sub-pl002,52,1646.0
sub-pl002,53,544.0
sub-pl002,54,452.0
sub-pl002,55,450.0
sub-pl002,56,226.0
sub-pl002,57,1664.0
sub-pl002,58,28.0
sub-pl002,59,390.0
sub-pl002,60,0.0
sub-pl002,61,0.0
sub-pl002,62,468.0
sub-pl002,63,0.0
sub-pl002,64,0.0
sub-pl002,65,0.0
sub-pl002,66,0.0
sub-pl002,67,0.0
sub-pl002,68,8.0
sub-pl002,69,0.0
sub-pl002,70,0.0
sub-pl002,71,0.0
sub-pl002,72,0.0
sub-pl002,73,864.0
sub-pl002,74,564.0
sub-pl002,75,0.0
sub-pl002,76,626.0
sub-pl002,77,1934.0
sub-pl002,78,446.0
sub-pl002,79,0.0
sub-pl002,80,922.0
sub-pl002,81,0.0
