subject,subject,roi,centrality
sub-pl002,sub-pl002,0,0.0
sub-pl002,sub-pl002,1,360.0
sub-pl002,sub-pl002,2,1516.0
sub-pl002,sub-pl002,3,1400.0
sub-pl002,sub-pl002,4,834.0
sub-pl002,sub-pl002,5,496.0
sub-pl002,sub-pl002,6,1748.0
sub-pl002,sub-pl002,7,3852.0
sub-pl002,sub-pl002,8,1080.0
sub-pl002,sub-pl002,9,2100.0
sub-pl002,sub-pl002,10,556.0
sub-pl002,sub-pl002,11,92.0
sub-pl002,sub-pl002,12,0.0
sub-pl002,sub-pl002,13,0.0
sub-pl002,sub-pl002,14,266.0
sub-pl002,sub-pl002,15,706.0
sub-pl002,sub-pl002,16,658.0
sub-pl002,sub-pl002,17,20.0
sub-pl002,sub-pl002,18,246.0
sub-pl002,sub-pl002,19,4.0
sub-pl002,sub-pl002,20,1974.0
sub-pl002,sub-pl002,21,0.0
sub-pl002,sub-pl002,22,940.0
sub-pl002,sub-pl002,23,914.0
sub-pl002,sub-pl002,24,542.0
sub-pl002,sub-pl002,25,3376.0
sub-pl002,sub-pl002,26,1148.0
sub-pl002,sub-pl002,27,268.0
sub-pl002,sub-pl002,28,26.0
sub-pl002,sub-pl002,29,0.0
sub-pl002,sub-pl002,30,734.0
sub-pl002,sub-pl002,31,146.0
sub-pl002,sub-pl002,32,262.0
sub-pl002,sub-pl002,33,0.0
sub-pl002,sub-pl002,34,44.0
sub-pl002,sub-pl002,35,86.0
sub-pl002,sub-pl002,36,12.0
sub-pl002,sub-pl002,37,1412.0
sub-pl002,sub-pl002,38,400.0
sub-pl002,sub-pl002,39,0.0
sub-pl002,sub-pl002,40,0.0
sub-pl002,sub-pl002,41,258.0
sub-pl002,sub-pl002,42,188.0
sub-pl002,sub-pl002,43,0.0
sub-pl002,sub-pl002,44,674.0
sub-pl002,sub-pl002,45,2002.0
sub-pl002,sub-pl002,46,820.0
sub-pl002,sub-pl002,47,34.0
sub-pl002,sub-pl002,48,5182.0
