subject,subject,roi,centrality
sub-pl002,sub-pl002,0,0.7809229660142778
sub-pl002,sub-pl002,1,0.7643271310717091
sub-pl002,sub-pl002,2,0.7639355212835442
sub-pl002,sub-pl002,3,0.8230664900353547
sub-pl002,sub-pl002,4,0.7552292249356268
sub-pl002,sub-pl002,5,0.9083000146025266
sub-pl002,sub-pl002,6,0.6696176392722689
sub-pl002,sub-pl002,7,0.7220099225125276
sub-pl002,sub-pl002,8,0.5205548402667614
sub-pl002,sub-pl002,9,0.8705454933243565
sub-pl002,sub-pl002,10,0.9528630976112004
sub-pl002,sub-pl002,11,0.8521905922075246
sub-pl002,sub-pl002,12,0.7800544918607597
sub-pl002,sub-pl002,13,1.1931626766350936
sub-pl002,sub-pl002,14,0.8159242403536682
sub-pl002,sub-pl002,15,0.6980302858161853
sub-pl002,sub-pl002,16,0.6249367554925075
sub-pl002,sub-pl002,17,0.7364064134806907
sub-pl002,sub-pl002,18,0.9680867606478697
sub-pl002,sub-pl002,19,0.96500687421681
sub-pl002,sub-pl002,20,0.7125939167875122
sub-pl002,sub-pl002,21,0.9088694903261039
sub-pl002,sub-pl002,22,0.7889931153393213
sub-pl002,sub-pl002,23,0.8705618337096721
sub-pl002,sub-pl002,24,0.6836891092358989
sub-pl002,sub-pl002,25,0.5836265838232515
sub-pl002,sub-pl002,26,1.0319424928936107
sub-pl002,sub-pl002,27,1.066804959057062
sub-pl002,sub-pl002,28,0.8955556241378609
sub-pl002,sub-pl002,29,1.1779088024407862
sub-pl002,sub-pl002,30,0.7507033668193851
sub-pl002,sub-pl002,31,1.0442256507779795
sub-pl002,sub-pl002,32,0.8544778646678232
sub-pl002,sub-pl002,33,1.1169415331975963
sub-pl002,sub-pl002,34,1.1913074099147858
sub-pl002,sub-pl002,35,1.17250522609209
sub-pl002,sub-pl002,36,0.4765640671263981
sub-pl002,sub-pl002,37,0.6846640741037323
sub-pl002,sub-pl002,38,1.066192118249944
sub-pl002,sub-pl002,39,0.7405762570212044
sub-pl002,sub-pl002,40,0.9848423086547226
sub-pl002,sub-pl002,41,1.0937796380807745
sub-pl002,sub-pl002,42,0.9798012490888328
