subject,roi,centrality
sub-pl007,0,26.0
sub-pl007,1,31.0
sub-pl007,2,28.0
sub-pl007,3,19.0
sub-pl007,4,27.0
sub-pl007,5,29.0
sub-pl007,6,24.0
sub-pl007,7,21.0
sub-pl007,8,30.0
sub-pl007,9,27.0
sub-pl007,10,20.0
sub-pl007,11,27.0
sub-pl007,12,27.0
sub-pl007,13,23.0
sub-pl007,14,28.0
sub-pl007,15,29.0
sub-pl007,16,26.0
sub-pl007,17,23.0
sub-pl007,18,23.0
sub-pl007,19,27.0
sub-pl007,20,31.0
sub-pl007,21,27.0
sub-pl007,22,26.0
sub-pl007,23,25.0
sub-pl007,24,26.0
sub-pl007,25,27.0
sub-pl007,26,22.0
sub-pl007,27,25.0
sub-pl007,28,12.0
sub-pl007,29,14.0
sub-pl007,30,14.0
sub-pl007,31,9.0
sub-pl007,32,15.0
sub-pl007,33,15.0
sub-pl007,34,16.0
sub-pl007,35,14.0
sub-pl007,36,28.0
sub-pl007,37,26.0
sub-pl007,38,11.0
sub-pl007,39,13.0
sub-pl007,40,17.0
sub-pl007,41,15.0
sub-pl007,42,20.0
sub-pl007,43,15.0
sub-pl007,44,24.0
sub-pl007,45,20.0
sub-pl007,46,18.0
sub-pl007,47,19.0
sub-pl007,48,26.0
sub-pl007,49,17.0
sub-pl007,50,23.0
sub-pl007,51,19.0
sub-pl007,52,26.0
sub-pl007,53,24.0
sub-pl007,54,26.0
sub-pl007,55,31.0
sub-pl007,56,22.0
sub-pl007,57,22.0
sub-pl007,58,21.0
sub-pl007,59,21.0
sub-pl007,60,17.0
sub-pl007,61,19.0
sub-pl007,62,24.0
sub-pl007,63,21.0
sub-pl007,64,11.0
sub-pl007,65,16.0
sub-pl007,66,14.0
sub-pl007,67,20.0
sub-pl007,68,11.0
sub-pl007,69,12.0
sub-pl007,70,15.0
sub-pl007,71,9.0
sub-pl007,72,13.0
sub-pl007,73,13.0
sub-pl007,74,13.0
sub-pl007,75,12.0
sub-pl007,76,9.0
sub-pl007,77,15.0
sub-pl007,78,15.0
sub-pl007,79,9.0
sub-pl007,80,13.0
sub-pl007,81,18.0
sub-pl007,82,17.0
sub-pl007,83,16.0
sub-pl007,84,15.0
sub-pl007,85,14.0
sub-pl007,86,19.0
sub-pl007,87,20.0
sub-pl007,88,5.0
sub-pl007,89,5.0
sub-pl007,90,8.0
sub-pl007,91,4.0
