subject,roi,centrality
sub-pl002,0,24.0
sub-pl002,1,31.0
sub-pl002,2,29.0
sub-pl002,3,20.0
sub-pl002,4,31.0
sub-pl002,5,28.0
sub-pl002,6,24.0
sub-pl002,7,20.0
sub-pl002,8,32.0
sub-pl002,9,25.0
sub-pl002,10,25.0
sub-pl002,11,30.0
sub-pl002,12,28.0
sub-pl002,13,24.0
sub-pl002,14,31.0
sub-pl002,15,25.0
sub-pl002,16,29.0
sub-pl002,17,18.0
sub-pl002,18,25.0
sub-pl002,19,26.0
sub-pl002,20,29.0
sub-pl002,21,29.0
sub-pl002,22,28.0
sub-pl002,23,26.0
sub-pl002,24,26.0
sub-pl002,25,28.0
sub-pl002,26,23.0
sub-pl002,27,25.0
sub-pl002,28,12.0
sub-pl002,29,16.0
sub-pl002,30,16.0
sub-pl002,31,12.0
sub-pl002,32,12.0
sub-pl002,33,16.0
sub-pl002,34,17.0
sub-pl002,35,17.0
sub-pl002,36,29.0
sub-pl002,37,29.0
sub-pl002,38,12.0
sub-pl002,39,11.0
sub-pl002,40,19.0
sub-pl002,41,16.0
sub-pl002,42,18.0
sub-pl002,43,17.0
sub-pl002,44,24.0
sub-pl002,45,23.0
sub-pl002,46,18.0
sub-pl002,47,19.0
sub-pl002,48,25.0
sub-pl002,49,15.0
sub-pl002,50,19.0
sub-pl002,51,18.0
sub-pl002,52,28.0
sub-pl002,53,20.0
sub-pl002,54,27.0
sub-pl002,55,31.0
sub-pl002,56,22.0
sub-pl002,57,25.0
sub-pl002,58,21.0
sub-pl002,59,20.0
sub-pl002,60,16.0
sub-pl002,61,20.0
sub-pl002,62,23.0
sub-pl002,63,23.0
sub-pl002,64,14.0
sub-pl002,65,16.0
sub-pl002,66,15.0
sub-pl002,67,17.0
sub-pl002,68,13.0
sub-pl002,69,11.0
sub-pl002,70,15.0
sub-pl002,71,9.0
sub-pl002,72,15.0
sub-pl002,73,14.0
sub-pl002,74,16.0
sub-pl002,75,13.0
sub-pl002,76,11.0
sub-pl002,77,15.0
sub-pl002,78,16.0
sub-pl002,79,9.0
sub-pl002,80,14.0
sub-pl002,81,16.0
sub-pl002,82,16.0
sub-pl002,83,16.0
sub-pl002,84,14.0
sub-pl002,85,14.0
sub-pl002,86,21.0
sub-pl002,87,20.0
sub-pl002,88,6.0
sub-pl002,89,5.0
sub-pl002,90,7.0
sub-pl002,91,4.0
sub-pl002,92,16.0
sub-pl002,93,12.0
sub-pl002,94,13.0
sub-pl002,95,15.0
sub-pl002,96,13.0
sub-pl002,97,7.0
sub-pl002,98,13.0
sub-pl002,99,10.0
sub-pl002,100,11.0
sub-pl002,101,12.0
sub-pl002,102,19.0
sub-pl002,103,16.0
sub-pl002,104,14.0
sub-pl002,105,12.0
sub-pl002,106,14.0
sub-pl002,107,15.0
sub-pl002,108,6.0
sub-pl002,109,3.0
sub-pl002,110,6.0
sub-pl002,111,4.0
sub-pl002,112,6.0
sub-pl002,113,7.0
sub-pl002,114,2.0
sub-pl002,115,0.0
sub-pl002,116,0.0
sub-pl002,117,0.0
sub-pl002,118,7.0
sub-pl002,119,8.0
sub-pl002,120,12.0
sub-pl002,121,11.0
sub-pl002,122,11.0
sub-pl002,123,11.0
sub-pl002,124,11.0
sub-pl002,125,16.0
sub-pl002,126,18.0
sub-pl002,127,17.0
sub-pl002,128,18.0
sub-pl002,129,10.0
sub-pl002,130,18.0
sub-pl002,131,18.0
sub-pl002,132,12.0
sub-pl002,133,11.0
sub-pl002,134,20.0
sub-pl002,135,27.0
sub-pl002,136,25.0
sub-pl002,137,24.0
sub-pl002,138,19.0
sub-pl002,139,24.0
sub-pl002,140,24.0
sub-pl002,141,31.0
sub-pl002,142,32.0
sub-pl002,143,22.0
sub-pl002,144,26.0
sub-pl002,145,29.0
sub-pl002,146,14.0
sub-pl002,147,14.0
sub-pl002,148,21.0
sub-pl002,149,19.0
sub-pl002,150,25.0
sub-pl002,151,27.0
sub-pl002,152,11.0
sub-pl002,153,15.0
sub-pl002,154,20.0
sub-pl002,155,21.0
sub-pl002,156,17.0
sub-pl002,157,14.0
sub-pl002,158,16.0
sub-pl002,159,18.0
sub-pl002,160,24.0
sub-pl002,161,16.0
sub-pl002,162,20.0
sub-pl002,163,18.0
sub-pl002,164,14.0
sub-pl002,165,13.0
sub-pl002,166,16.0
sub-pl002,167,15.0
sub-pl002,168,30.0
sub-pl002,169,28.0
sub-pl002,170,19.0
sub-pl002,171,17.0
sub-pl002,172,28.0
sub-pl002,173,22.0
sub-pl002,174,16.0
sub-pl002,175,15.0
sub-pl002,176,28.0
sub-pl002,177,47.0
sub-pl002,178,21.0
sub-pl002,179,9.0
sub-pl002,180,45.0
sub-pl002,181,43.0
sub-pl002,182,17.0
sub-pl002,183,9.0
sub-pl002,184,19.0
sub-pl002,185,16.0
sub-pl002,186,18.0
sub-pl002,187,11.0
sub-pl002,188,10.0
sub-pl002,189,11.0
sub-pl002,190,10.0
sub-pl002,191,10.0
sub-pl002,192,12.0
sub-pl002,193,10.0
sub-pl002,194,13.0
sub-pl002,195,16.0
sub-pl002,196,16.0
sub-pl002,197,17.0
sub-pl002,198,16.0
sub-pl002,199,15.0
sub-pl002,200,20.0
sub-pl002,201,21.0
sub-pl002,202,16.0
sub-pl002,203,14.0
sub-pl002,204,14.0
sub-pl002,205,14.0
sub-pl002,206,14.0
sub-pl002,207,17.0
sub-pl002,208,20.0
sub-pl002,209,19.0
sub-pl002,210,70.0
sub-pl002,211,45.0
sub-pl002,212,61.0
sub-pl002,213,14.0
sub-pl002,214,74.0
sub-pl002,215,14.0
sub-pl002,216,11.0
sub-pl002,217,7.0
sub-pl002,218,62.0
sub-pl002,219,40.0
sub-pl002,220,66.0
sub-pl002,221,11.0
sub-pl002,222,14.0
sub-pl002,223,4.0
sub-pl002,224,5.0
sub-pl006,0,24.0
sub-pl006,1,32.0
sub-pl006,2,28.0
sub-pl006,3,20.0
sub-pl006,4,31.0
sub-pl006,5,29.0
sub-pl006,6,25.0
sub-pl006,7,21.0
sub-pl006,8,31.0
sub-pl006,9,26.0
sub-pl006,10,25.0
sub-pl006,11,30.0
sub-pl006,12,28.0
sub-pl006,13,26.0
sub-pl006,14,31.0
sub-pl006,15,27.0
sub-pl006,16,28.0
sub-pl006,17,20.0
sub-pl006,18,25.0
sub-pl006,19,26.0
sub-pl006,20,30.0
sub-pl006,21,29.0
sub-pl006,22,28.0
sub-pl006,23,26.0
sub-pl006,24,25.0
sub-pl006,25,26.0
sub-pl006,26,23.0
sub-pl006,27,25.0
sub-pl006,28,13.0
sub-pl006,29,16.0
sub-pl006,30,16.0
sub-pl006,31,12.0
sub-pl006,32,11.0
sub-pl006,33,16.0
sub-pl006,34,17.0
sub-pl006,35,17.0
sub-pl006,36,29.0
sub-pl006,37,28.0
sub-pl006,38,12.0
sub-pl006,39,11.0
sub-pl006,40,20.0
sub-pl006,41,17.0
sub-pl006,42,18.0
sub-pl006,43,17.0
sub-pl006,44,24.0
sub-pl006,45,23.0
sub-pl006,46,18.0
sub-pl006,47,19.0
sub-pl006,48,25.0
sub-pl006,49,15.0
sub-pl006,50,19.0
sub-pl006,51,18.0
sub-pl006,52,28.0
sub-pl006,53,20.0
sub-pl006,54,27.0
sub-pl006,55,32.0
sub-pl006,56,22.0
sub-pl006,57,25.0
sub-pl006,58,23.0
sub-pl006,59,20.0
sub-pl006,60,16.0
sub-pl006,61,19.0
sub-pl006,62,23.0
sub-pl006,63,23.0
sub-pl006,64,14.0
sub-pl006,65,16.0
sub-pl006,66,15.0
sub-pl006,67,17.0
sub-pl006,68,13.0
sub-pl006,69,10.0
sub-pl006,70,14.0
sub-pl006,71,9.0
sub-pl006,72,15.0
sub-pl006,73,14.0
sub-pl006,74,16.0
sub-pl006,75,12.0
sub-pl006,76,10.0
sub-pl006,77,15.0
sub-pl006,78,15.0
sub-pl006,79,9.0
sub-pl006,80,14.0
sub-pl006,81,16.0
sub-pl006,82,17.0
sub-pl006,83,16.0
sub-pl006,84,14.0
sub-pl006,85,13.0
sub-pl006,86,21.0
sub-pl006,87,20.0
sub-pl006,88,6.0
sub-pl006,89,5.0
sub-pl006,90,7.0
sub-pl006,91,4.0
sub-pl006,92,17.0
sub-pl006,93,12.0
sub-pl006,94,13.0
sub-pl006,95,16.0
sub-pl006,96,14.0
sub-pl006,97,8.0
sub-pl006,98,13.0
sub-pl006,99,10.0
sub-pl006,100,11.0
sub-pl006,101,12.0
sub-pl006,102,20.0
sub-pl006,103,17.0
sub-pl006,104,15.0
sub-pl006,105,12.0
sub-pl006,106,15.0
sub-pl006,107,15.0
sub-pl006,108,6.0
sub-pl006,109,3.0
sub-pl006,110,6.0
sub-pl006,111,4.0
sub-pl006,112,7.0
sub-pl006,113,7.0
sub-pl006,114,2.0
sub-pl006,115,0.0
sub-pl006,116,0.0
sub-pl006,117,0.0
sub-pl006,118,7.0
sub-pl006,119,8.0
sub-pl006,120,12.0
sub-pl006,121,11.0
sub-pl006,122,8.0
sub-pl006,123,11.0
sub-pl006,124,11.0
sub-pl006,125,16.0
sub-pl006,126,18.0
sub-pl006,127,17.0
sub-pl006,128,19.0
sub-pl006,129,12.0
sub-pl006,130,20.0
sub-pl006,131,19.0
sub-pl006,132,12.0
sub-pl006,133,11.0
sub-pl006,134,21.0
sub-pl006,135,27.0
sub-pl006,136,25.0
sub-pl006,137,24.0
sub-pl006,138,18.0
sub-pl006,139,25.0
sub-pl006,140,25.0
sub-pl006,141,32.0
sub-pl006,142,32.0
sub-pl006,143,22.0
sub-pl006,144,27.0
sub-pl006,145,29.0
sub-pl006,146,14.0
sub-pl006,147,14.0
sub-pl006,148,21.0
sub-pl006,149,19.0
sub-pl006,150,28.0
sub-pl006,151,27.0
sub-pl006,152,11.0
sub-pl006,153,14.0
sub-pl006,154,20.0
sub-pl006,155,21.0
sub-pl006,156,17.0
sub-pl006,157,14.0
sub-pl006,158,16.0
sub-pl006,159,19.0
sub-pl006,160,24.0
sub-pl006,161,16.0
sub-pl006,162,20.0
sub-pl006,163,19.0
sub-pl006,164,15.0
sub-pl006,165,14.0
sub-pl006,166,17.0
sub-pl006,167,16.0
sub-pl006,168,33.0
sub-pl006,169,27.0
sub-pl006,170,19.0
sub-pl006,171,17.0
sub-pl006,172,27.0
sub-pl006,173,22.0
sub-pl006,174,16.0
sub-pl006,175,14.0
sub-pl006,176,31.0
sub-pl006,177,46.0
sub-pl006,178,21.0
sub-pl006,179,9.0
sub-pl006,180,46.0
sub-pl006,181,42.0
sub-pl006,182,17.0
sub-pl006,183,9.0
