subject,subject,roi,centrality
sub-pl007,sub-pl007,0,14.0
sub-pl007,sub-pl007,1,1548.0
sub-pl007,sub-pl007,2,328.0
sub-pl007,sub-pl007,3,0.0
sub-pl007,sub-pl007,4,214.0
sub-pl007,sub-pl007,5,346.0
sub-pl007,sub-pl007,6,418.0
sub-pl007,sub-pl007,7,762.0
sub-pl007,sub-pl007,8,5704.0
sub-pl007,sub-pl007,9,166.0
sub-pl007,sub-pl007,10,254.0
sub-pl007,sub-pl007,11,1302.0
sub-pl007,sub-pl007,12,248.0
sub-pl007,sub-pl007,13,582.0
sub-pl007,sub-pl007,14,744.0
sub-pl007,sub-pl007,15,1324.0
sub-pl007,sub-pl007,16,244.0
sub-pl007,sub-pl007,17,1394.0
sub-pl007,sub-pl007,18,592.0
sub-pl007,sub-pl007,19,10.0
sub-pl007,sub-pl007,20,402.0
sub-pl007,sub-pl007,21,10.0
sub-pl007,sub-pl007,22,676.0
sub-pl007,sub-pl007,23,616.0
sub-pl007,sub-pl007,24,2000.0
sub-pl007,sub-pl007,25,28.0
sub-pl007,sub-pl007,26,2134.0
sub-pl007,sub-pl007,27,1026.0
sub-pl007,sub-pl007,28,0.0
sub-pl007,sub-pl007,29,4.0
sub-pl007,sub-pl007,30,490.0
sub-pl007,sub-pl007,31,280.0
sub-pl007,sub-pl007,32,18.0
sub-pl007,sub-pl007,33,636.0
sub-pl007,sub-pl007,34,94.0
sub-pl007,sub-pl007,35,264.0
sub-pl007,sub-pl007,36,1028.0
sub-pl007,sub-pl007,37,320.0
sub-pl007,sub-pl007,38,676.0
sub-pl007,sub-pl007,39,0.0
sub-pl007,sub-pl007,40,1482.0
sub-pl007,sub-pl007,41,436.0
sub-pl007,sub-pl007,42,0.0
sub-pl007,sub-pl007,43,0.0
sub-pl007,sub-pl007,44,6872.0
sub-pl007,sub-pl007,45,854.0
sub-pl007,sub-pl007,46,1064.0
sub-pl007,sub-pl007,47,42.0
sub-pl007,sub-pl007,48,734.0
sub-pl007,sub-pl007,49,392.0
sub-pl007,sub-pl007,50,492.0
sub-pl007,sub-pl007,51,18.0
sub-pl007,sub-pl007,52,3080.0
sub-pl007,sub-pl007,53,5820.0
sub-pl007,sub-pl007,54,714.0
sub-pl007,sub-pl007,55,1332.0
sub-pl007,sub-pl007,56,4426.0
sub-pl007,sub-pl007,57,458.0
sub-pl007,sub-pl007,58,3956.0
sub-pl007,sub-pl007,59,844.0
sub-pl007,sub-pl007,60,582.0
sub-pl007,sub-pl007,61,94.0
sub-pl007,sub-pl007,62,22.0
sub-pl007,sub-pl007,63,2862.0
sub-pl007,sub-pl007,64,0.0
sub-pl007,sub-pl007,65,1234.0
sub-pl007,sub-pl007,66,2.0
sub-pl007,sub-pl007,67,778.0
sub-pl007,sub-pl007,68,430.0
sub-pl007,sub-pl007,69,32.0
sub-pl007,sub-pl007,70,20.0
sub-pl007,sub-pl007,71,0.0
sub-pl007,sub-pl007,72,792.0
sub-pl007,sub-pl007,73,428.0
sub-pl007,sub-pl007,74,764.0
sub-pl007,sub-pl007,75,0.0
sub-pl007,sub-pl007,76,0.0
sub-pl007,sub-pl007,77,146.0
sub-pl007,sub-pl007,78,630.0
sub-pl007,sub-pl007,79,306.0
sub-pl007,sub-pl007,80,0.0
sub-pl007,sub-pl007,81,68.0
sub-pl007,sub-pl007,82,294.0
sub-pl007,sub-pl007,83,3814.0
sub-pl007,sub-pl007,84,0.0
sub-pl007,sub-pl007,85,32.0
sub-pl007,sub-pl007,86,602.0
sub-pl007,sub-pl007,87,0.0
sub-pl007,sub-pl007,88,0.0
sub-pl007,sub-pl007,89,0.0
sub-pl007,sub-pl007,90,0.0
sub-pl007,sub-pl007,91,0.0
sub-pl007,sub-pl007,92,2544.0
sub-pl007,sub-pl007,93,0.0
sub-pl007,sub-pl007,94,0.0
sub-pl007,sub-pl007,95,2232.0
sub-pl007,sub-pl007,96,16.0
sub-pl007,sub-pl007,97,0.0
sub-pl007,sub-pl007,98,50.0
sub-pl007,sub-pl007,99,268.0
sub-pl007,sub-pl007,100,0.0
sub-pl007,sub-pl007,101,306.0
sub-pl007,sub-pl007,102,798.0
sub-pl007,sub-pl007,103,356.0
sub-pl007,sub-pl007,104,1300.0
sub-pl007,sub-pl007,105,460.0
sub-pl007,sub-pl007,106,0.0
sub-pl007,sub-pl007,107,1284.0
sub-pl007,sub-pl007,108,0.0
sub-pl007,sub-pl007,109,0.0
sub-pl007,sub-pl007,110,0.0
sub-pl007,sub-pl007,111,0.0
sub-pl007,sub-pl007,112,10.0
sub-pl007,sub-pl007,113,440.0
sub-pl007,sub-pl007,114,0.0
sub-pl007,sub-pl007,115,0.0
sub-pl007,sub-pl007,116,0.0
sub-pl007,sub-pl007,117,0.0
sub-pl007,sub-pl007,118,432.0
sub-pl007,sub-pl007,119,428.0
sub-pl007,sub-pl007,120,0.0
sub-pl007,sub-pl007,121,0.0
sub-pl007,sub-pl007,122,424.0
sub-pl007,sub-pl007,123,0.0
sub-pl007,sub-pl007,124,8484.0
sub-pl007,sub-pl007,125,382.0
sub-pl007,sub-pl007,126,882.0
sub-pl007,sub-pl007,127,2868.0
sub-pl007,sub-pl007,128,438.0
sub-pl007,sub-pl007,129,24.0
sub-pl007,sub-pl007,130,0.0
sub-pl007,sub-pl007,131,64.0
sub-pl007,sub-pl007,132,0.0
sub-pl007,sub-pl007,133,500.0
sub-pl007,sub-pl007,134,1836.0
sub-pl007,sub-pl007,135,98.0
sub-pl007,sub-pl007,136,1232.0
sub-pl007,sub-pl007,137,2850.0
sub-pl007,sub-pl007,138,110.0
sub-pl007,sub-pl007,139,160.0
sub-pl007,sub-pl007,140,3712.0
