subject,subject,roi,centrality
sub-pl002,sub-pl002,0,678.0
sub-pl002,sub-pl002,1,984.0
sub-pl002,sub-pl002,2,668.0
sub-pl002,sub-pl002,3,1326.0
sub-pl002,sub-pl002,4,2600.0
sub-pl002,sub-pl002,5,1394.0
sub-pl002,sub-pl002,6,2888.0
sub-pl002,sub-pl002,7,1608.0
sub-pl002,sub-pl002,8,6342.0
sub-pl002,sub-pl002,9,186.0
sub-pl002,sub-pl002,10,696.0
sub-pl002,sub-pl002,11,0.0
sub-pl002,sub-pl002,12,4284.0
sub-pl002,sub-pl002,13,30.0
sub-pl002,sub-pl002,14,4.0
sub-pl002,sub-pl002,15,1574.0
sub-pl002,sub-pl002,16,398.0
sub-pl002,sub-pl002,17,490.0
sub-pl002,sub-pl002,18,14.0
sub-pl002,sub-pl002,19,12.0
sub-pl002,sub-pl002,20,6902.0
sub-pl002,sub-pl002,21,0.0
sub-pl002,sub-pl002,22,510.0
sub-pl002,sub-pl002,23,926.0
sub-pl002,sub-pl002,24,198.0
sub-pl002,sub-pl002,25,868.0
sub-pl002,sub-pl002,26,324.0
sub-pl002,sub-pl002,27,652.0
sub-pl002,sub-pl002,28,128.0
sub-pl002,sub-pl002,29,0.0
sub-pl002,sub-pl002,30,384.0
sub-pl002,sub-pl002,31,4.0
sub-pl002,sub-pl002,32,208.0
sub-pl002,sub-pl002,33,0.0
sub-pl002,sub-pl002,34,12.0
sub-pl002,sub-pl002,35,14.0
sub-pl002,sub-pl002,36,320.0
sub-pl002,sub-pl002,37,664.0
sub-pl002,sub-pl002,38,0.0
sub-pl002,sub-pl002,39,52.0
sub-pl002,sub-pl002,40,4.0
sub-pl002,sub-pl002,41,414.0
sub-pl002,sub-pl002,42,78.0
sub-pl002,sub-pl002,43,26.0
sub-pl002,sub-pl002,44,328.0
sub-pl002,sub-pl002,45,150.0
sub-pl002,sub-pl002,46,62.0
sub-pl002,sub-pl002,47,252.0
sub-pl002,sub-pl002,48,3576.0
sub-pl002,sub-pl002,49,284.0
sub-pl002,sub-pl002,50,2192.0
sub-pl002,sub-pl002,51,352.0
sub-pl002,sub-pl002,52,688.0
sub-pl002,sub-pl002,53,6066.0
sub-pl002,sub-pl002,54,32.0
sub-pl002,sub-pl002,55,1366.0
sub-pl002,sub-pl002,56,476.0
sub-pl002,sub-pl002,57,376.0
sub-pl002,sub-pl002,58,206.0
sub-pl002,sub-pl002,59,2910.0
sub-pl002,sub-pl002,60,0.0
sub-pl002,sub-pl002,61,4.0
sub-pl002,sub-pl002,62,626.0
sub-pl002,sub-pl002,63,172.0
sub-pl002,sub-pl002,64,0.0
sub-pl002,sub-pl002,65,0.0
sub-pl002,sub-pl002,66,0.0
sub-pl002,sub-pl002,67,344.0
sub-pl002,sub-pl002,68,0.0
sub-pl002,sub-pl002,69,1680.0
sub-pl002,sub-pl002,70,628.0
sub-pl002,sub-pl002,71,716.0
sub-pl002,sub-pl002,72,184.0
sub-pl002,sub-pl002,73,260.0
sub-pl002,sub-pl002,74,6738.0
sub-pl002,sub-pl002,75,0.0
sub-pl002,sub-pl002,76,1444.0
sub-pl002,sub-pl002,77,6.0
sub-pl002,sub-pl002,78,0.0
sub-pl002,sub-pl002,79,2.0
sub-pl002,sub-pl002,80,0.0
sub-pl002,sub-pl002,81,714.0
sub-pl002,sub-pl002,82,0.0
sub-pl002,sub-pl002,83,586.0
sub-pl002,sub-pl002,84,0.0
sub-pl002,sub-pl002,85,0.0
sub-pl002,sub-pl002,86,512.0
sub-pl002,sub-pl002,87,88.0
sub-pl002,sub-pl002,88,0.0
sub-pl002,sub-pl002,89,0.0
sub-pl002,sub-pl002,90,438.0
sub-pl002,sub-pl002,91,0.0
