subject,roi,centrality
sub-pl002,0,1012.0
sub-pl002,1,258.0
sub-pl002,2,1300.0
sub-pl002,3,2536.0
sub-pl002,4,430.0
sub-pl002,5,152.0
sub-pl002,6,2090.0
sub-pl002,7,1698.0
sub-pl002,8,266.0
sub-pl002,9,632.0
sub-pl002,10,684.0
sub-pl002,11,118.0
sub-pl002,12,536.0
sub-pl002,13,224.0
sub-pl002,14,640.0
sub-pl002,15,3478.0
sub-pl002,16,262.0
sub-pl002,17,1938.0
sub-pl002,18,38.0
sub-pl002,19,228.0
sub-pl002,20,1062.0
sub-pl002,21,2.0
sub-pl002,22,250.0
sub-pl002,23,2478.0
sub-pl002,24,984.0
sub-pl002,25,11000.0
sub-pl002,26,406.0
sub-pl002,27,356.0
sub-pl002,28,0.0
sub-pl002,29,0.0
sub-pl002,30,1064.0
sub-pl002,31,0.0
sub-pl002,32,12.0
sub-pl002,33,72.0
sub-pl002,34,348.0
sub-pl002,35,118.0
sub-pl002,36,28.0
sub-pl002,37,1412.0
sub-pl002,38,0.0
sub-pl002,39,4.0
sub-pl002,40,70.0
sub-pl002,41,8.0
sub-pl002,42,642.0
sub-pl002,43,0.0
sub-pl002,44,1382.0
sub-pl002,45,584.0
sub-pl002,46,0.0
sub-pl002,47,600.0
sub-pl002,48,2374.0
sub-pl002,49,956.0
sub-pl002,50,1200.0
sub-pl002,51,28.0
sub-pl002,52,6140.0
sub-pl002,53,318.0
sub-pl002,54,354.0
sub-pl002,55,868.0
sub-pl002,56,908.0
sub-pl002,57,2786.0
sub-pl002,58,538.0
sub-pl002,59,1566.0
sub-pl002,60,0.0
sub-pl002,61,152.0
sub-pl002,62,2168.0
sub-pl002,63,0.0
sub-pl002,64,8.0
sub-pl002,65,0.0
sub-pl002,66,156.0
sub-pl002,67,6.0
sub-pl002,68,0.0
sub-pl002,69,2486.0
sub-pl002,70,0.0
sub-pl002,71,0.0
sub-pl002,72,48.0
sub-pl002,73,380.0
sub-pl002,74,280.0
sub-pl002,75,0.0
sub-pl002,76,0.0
sub-pl002,77,302.0
sub-pl002,78,332.0
sub-pl002,79,284.0
sub-pl002,80,1082.0
sub-pl002,81,510.0
sub-pl002,82,134.0
sub-pl002,83,1416.0
sub-pl002,84,542.0
sub-pl002,85,414.0
sub-pl002,86,652.0
sub-pl002,87,126.0
sub-pl002,88,4.0
sub-pl002,89,24.0
sub-pl002,90,18.0
sub-pl002,91,0.0
sub-pl002,92,3146.0
sub-pl002,93,38.0
sub-pl002,94,478.0
sub-pl002,95,926.0
sub-pl002,96,0.0
sub-pl002,97,0.0
sub-pl002,98,162.0
sub-pl002,99,418.0
sub-pl002,100,0.0
sub-pl002,101,244.0
sub-pl002,102,546.0
sub-pl002,103,0.0
sub-pl002,104,78.0
sub-pl002,105,338.0
sub-pl002,106,0.0
sub-pl002,107,424.0
sub-pl002,108,0.0
sub-pl002,109,0.0
sub-pl002,110,76.0
sub-pl002,111,0.0
sub-pl002,112,118.0
sub-pl002,113,88.0
sub-pl002,114,0.0
sub-pl002,115,0.0
sub-pl002,116,0.0
sub-pl002,117,0.0
sub-pl002,118,0.0
sub-pl002,119,220.0
sub-pl002,120,560.0
sub-pl002,121,0.0
sub-pl002,122,0.0
sub-pl002,123,64.0
sub-pl002,124,92.0
sub-pl002,125,560.0
sub-pl002,126,0.0
sub-pl002,127,888.0
sub-pl002,128,156.0
sub-pl002,129,0.0
sub-pl002,130,1918.0
sub-pl002,131,408.0
sub-pl002,132,0.0
sub-pl002,133,0.0
sub-pl002,134,364.0
sub-pl002,135,3502.0
sub-pl002,136,4564.0
sub-pl002,137,294.0
sub-pl002,138,30.0
sub-pl002,139,366.0
sub-pl002,140,3042.0
sub-pl002,141,2390.0
sub-pl002,142,1074.0
sub-pl002,143,52.0
sub-pl002,144,234.0
sub-pl002,145,102.0
sub-pl002,146,0.0
sub-pl002,147,0.0
sub-pl002,148,278.0
sub-pl002,149,2488.0
sub-pl002,150,1328.0
sub-pl002,151,190.0
sub-pl002,152,0.0
sub-pl002,153,68.0
sub-pl002,154,626.0
sub-pl002,155,1556.0
sub-pl002,156,104.0
sub-pl002,157,522.0
sub-pl002,158,0.0
sub-pl002,159,64.0
sub-pl002,160,202.0
sub-pl002,161,0.0
sub-pl002,162,10.0
sub-pl002,163,1350.0
sub-pl002,164,42.0
sub-pl002,165,214.0
sub-pl002,166,2052.0
sub-pl002,167,6.0
sub-pl002,168,886.0
sub-pl002,169,1114.0
sub-pl002,170,48.0
sub-pl002,171,324.0
sub-pl002,172,274.0
sub-pl002,173,5078.0
sub-pl002,174,4.0
sub-pl002,175,476.0
sub-pl002,176,426.0
sub-pl002,177,1334.0
sub-pl002,178,3054.0
sub-pl002,179,8.0
sub-pl002,180,3840.0
sub-pl002,181,4212.0
sub-pl002,182,846.0
sub-pl002,183,32.0
sub-pl002,184,430.0
sub-pl002,185,700.0
sub-pl002,186,580.0
sub-pl002,187,0.0
sub-pl002,188,0.0
sub-pl002,189,0.0
sub-pl002,190,42.0
sub-pl002,191,168.0
sub-pl002,192,1234.0
sub-pl002,193,0.0
sub-pl002,194,620.0
sub-pl002,195,178.0
sub-pl002,196,58.0
sub-pl002,197,962.0
sub-pl002,198,260.0
sub-pl002,199,1110.0
sub-pl002,200,1014.0
sub-pl002,201,230.0
sub-pl002,202,0.0
sub-pl002,203,0.0
sub-pl002,204,576.0
sub-pl002,205,766.0
sub-pl002,206,0.0
sub-pl002,207,0.0
sub-pl002,208,436.0
sub-pl002,209,148.0
sub-pl002,210,8910.0
sub-pl002,211,24.0
sub-pl002,212,2768.0
sub-pl002,213,10.0
sub-pl002,214,12726.0
sub-pl002,215,1488.0
sub-pl002,216,0.0
sub-pl002,217,0.0
sub-pl002,218,4880.0
sub-pl002,219,2888.0
sub-pl002,220,2712.0
sub-pl002,221,0.0
sub-pl002,222,1300.0
sub-pl002,223,0.0
sub-pl002,224,0.0
sub-pl006,0,1470.0
sub-pl006,1,442.0
sub-pl006,2,168.0
sub-pl006,3,84.0
sub-pl006,4,6.0
sub-pl006,5,1090.0
sub-pl006,6,24.0
sub-pl006,7,0.0
sub-pl006,8,318.0
sub-pl006,9,12.0
sub-pl006,10,1142.0
sub-pl006,11,188.0
sub-pl006,12,5524.0
sub-pl006,13,430.0
sub-pl006,14,1558.0
sub-pl006,15,0.0
sub-pl006,16,2632.0
sub-pl006,17,72.0
sub-pl006,18,410.0
sub-pl006,19,0.0
sub-pl006,20,5578.0
sub-pl006,21,8578.0
sub-pl006,22,4.0
sub-pl006,23,1158.0
sub-pl006,24,438.0
sub-pl006,25,1430.0
sub-pl006,26,54.0
sub-pl006,27,36.0
sub-pl006,28,54.0
sub-pl006,29,0.0
sub-pl006,30,46.0
sub-pl006,31,22.0
sub-pl006,32,256.0
sub-pl006,33,2.0
sub-pl006,34,1090.0
sub-pl006,35,0.0
sub-pl006,36,3054.0
sub-pl006,37,2318.0
sub-pl006,38,0.0
sub-pl006,39,0.0
sub-pl006,40,0.0
sub-pl006,41,678.0
sub-pl006,42,738.0
sub-pl006,43,0.0
sub-pl006,44,5904.0
sub-pl006,45,240.0
sub-pl006,46,70.0
sub-pl006,47,440.0
sub-pl006,48,1272.0
sub-pl006,49,34.0
sub-pl006,50,422.0
sub-pl006,51,8.0
sub-pl006,52,0.0
sub-pl006,53,322.0
sub-pl006,54,118.0
sub-pl006,55,228.0
sub-pl006,56,28.0
sub-pl006,57,894.0
sub-pl006,58,84.0
sub-pl006,59,0.0
sub-pl006,60,0.0
sub-pl006,61,86.0
sub-pl006,62,466.0
sub-pl006,63,0.0
sub-pl006,64,0.0
sub-pl006,65,2344.0
sub-pl006,66,434.0
sub-pl006,67,888.0
sub-pl006,68,370.0
sub-pl006,69,1448.0
sub-pl006,70,50.0
sub-pl006,71,8.0
sub-pl006,72,276.0
sub-pl006,73,1344.0
sub-pl006,74,0.0
sub-pl006,75,16.0
sub-pl006,76,398.0
sub-pl006,77,1304.0
