subject,roi,centrality
sub-pl007,0,23.0
sub-pl007,1,28.0
sub-pl007,2,26.0
sub-pl007,3,18.0
sub-pl007,4,26.0
sub-pl007,5,26.0
sub-pl007,6,18.0
sub-pl007,7,16.0
sub-pl007,8,25.0
sub-pl007,9,25.0
sub-pl007,10,20.0
sub-pl007,11,23.0
sub-pl007,12,27.0
sub-pl007,13,23.0
sub-pl007,14,27.0
sub-pl007,15,27.0
sub-pl007,16,22.0
sub-pl007,17,18.0
sub-pl007,18,22.0
sub-pl007,19,26.0
sub-pl007,20,27.0
sub-pl007,21,27.0
sub-pl007,22,23.0
sub-pl007,23,23.0
sub-pl007,24,22.0
sub-pl007,25,24.0
sub-pl007,26,21.0
sub-pl007,27,23.0
sub-pl007,28,9.0
sub-pl007,29,13.0
sub-pl007,30,14.0
sub-pl007,31,8.0
sub-pl007,32,10.0
sub-pl007,33,13.0
sub-pl007,34,15.0
sub-pl007,35,14.0
sub-pl007,36,28.0
sub-pl007,37,24.0
sub-pl007,38,10.0
sub-pl007,39,10.0
sub-pl007,40,17.0
sub-pl007,41,13.0
sub-pl007,42,18.0
sub-pl007,43,14.0
sub-pl007,44,21.0
sub-pl007,45,20.0
sub-pl007,46,15.0
sub-pl007,47,17.0
sub-pl007,48,21.0
sub-pl007,49,13.0
sub-pl007,50,18.0
sub-pl007,51,16.0
sub-pl007,52,25.0
sub-pl007,53,16.0
sub-pl007,54,23.0
sub-pl007,55,28.0
sub-pl007,56,19.0
sub-pl007,57,21.0
sub-pl007,58,19.0
sub-pl007,59,18.0
sub-pl007,60,15.0
sub-pl007,61,17.0
sub-pl007,62,20.0
sub-pl007,63,18.0
sub-pl007,64,11.0
sub-pl007,65,16.0
sub-pl007,66,11.0
sub-pl007,67,15.0
sub-pl007,68,11.0
sub-pl007,69,9.0
sub-pl007,70,12.0
sub-pl007,71,7.0
sub-pl007,72,11.0
sub-pl007,73,12.0
sub-pl007,74,12.0
sub-pl007,75,12.0
