subject,roi,centrality
sub-pl002,0,23.0
sub-pl002,1,27.0
sub-pl002,2,26.0
sub-pl002,3,18.0
sub-pl002,4,26.0
sub-pl002,5,25.0
sub-pl002,6,18.0
sub-pl002,7,16.0
sub-pl002,8,25.0
sub-pl002,9,24.0
sub-pl002,10,19.0
sub-pl002,11,24.0
sub-pl002,12,27.0
sub-pl002,13,22.0
sub-pl002,14,27.0
sub-pl002,15,25.0
sub-pl002,16,22.0
sub-pl002,17,17.0
sub-pl002,18,23.0
sub-pl002,19,26.0
sub-pl002,20,26.0
sub-pl002,21,28.0
sub-pl002,22,23.0
sub-pl002,23,23.0
sub-pl002,24,22.0
sub-pl002,25,24.0
sub-pl002,26,22.0
sub-pl002,27,23.0
sub-pl002,28,9.0
sub-pl002,29,14.0
sub-pl002,30,15.0
sub-pl002,31,8.0
sub-pl002,32,10.0
sub-pl002,33,13.0
sub-pl002,34,15.0
sub-pl002,35,15.0
sub-pl002,36,28.0
sub-pl002,37,24.0
sub-pl002,38,10.0
sub-pl002,39,10.0
sub-pl002,40,17.0
sub-pl002,41,12.0
sub-pl002,42,18.0
sub-pl002,43,14.0
sub-pl002,44,21.0
sub-pl002,45,20.0
sub-pl002,46,15.0
sub-pl002,47,17.0
sub-pl002,48,21.0
sub-pl002,49,13.0
sub-pl002,50,18.0
sub-pl002,51,16.0
sub-pl002,52,25.0
sub-pl002,53,16.0
sub-pl002,54,24.0
sub-pl002,55,27.0
sub-pl002,56,20.0
sub-pl002,57,21.0
sub-pl002,58,18.0
sub-pl002,59,18.0
sub-pl002,60,15.0
sub-pl002,61,17.0
sub-pl002,62,21.0
sub-pl002,63,18.0
sub-pl002,64,11.0
sub-pl002,65,16.0
sub-pl002,66,11.0
sub-pl002,67,15.0
sub-pl002,68,11.0
sub-pl002,69,9.0
sub-pl002,70,12.0
sub-pl002,71,7.0
sub-pl002,72,12.0
sub-pl002,73,12.0
sub-pl002,74,12.0
sub-pl002,75,12.0
sub-pl002,76,9.0
sub-pl002,77,15.0
sub-pl002,78,14.0
sub-pl002,79,8.0
sub-pl002,80,13.0
sub-pl002,81,14.0
sub-pl002,82,15.0
sub-pl002,83,14.0
sub-pl002,84,13.0
sub-pl002,85,13.0
sub-pl002,86,17.0
sub-pl002,87,19.0
sub-pl002,88,5.0
sub-pl002,89,4.0
sub-pl002,90,6.0
sub-pl002,91,3.0
sub-pl002,92,12.0
sub-pl002,93,10.0
sub-pl002,94,12.0
sub-pl002,95,13.0
sub-pl002,96,9.0
sub-pl002,97,5.0
sub-pl002,98,12.0
sub-pl002,99,9.0
sub-pl002,100,10.0
sub-pl002,101,11.0
sub-pl002,102,17.0
sub-pl002,103,15.0
sub-pl002,104,12.0
sub-pl002,105,11.0
sub-pl002,106,14.0
sub-pl002,107,13.0
sub-pl002,108,2.0
sub-pl002,109,2.0
sub-pl002,110,4.0
sub-pl002,111,3.0
sub-pl002,112,5.0
sub-pl002,113,6.0
sub-pl002,114,1.0
sub-pl002,115,0.0
sub-pl002,116,0.0
sub-pl002,117,0.0
sub-pl002,118,5.0
sub-pl002,119,7.0
sub-pl002,120,11.0
sub-pl002,121,10.0
sub-pl002,122,9.0
sub-pl002,123,10.0
sub-pl002,124,10.0
sub-pl002,125,16.0
sub-pl002,126,12.0
sub-pl002,127,12.0
sub-pl002,128,14.0
sub-pl002,129,8.0
sub-pl002,130,18.0
sub-pl002,131,15.0
sub-pl002,132,11.0
sub-pl002,133,8.0
sub-pl002,134,15.0
sub-pl002,135,22.0
sub-pl002,136,21.0
sub-pl002,137,18.0
sub-pl002,138,18.0
sub-pl002,139,21.0
sub-pl002,140,22.0
sub-pl002,141,28.0
sub-pl002,142,26.0
sub-pl002,143,19.0
sub-pl002,144,23.0
sub-pl002,145,26.0
sub-pl002,146,8.0
sub-pl002,147,10.0
sub-pl002,148,19.0
sub-pl002,149,17.0
sub-pl002,150,22.0
sub-pl002,151,23.0
sub-pl002,152,9.0
sub-pl002,153,12.0
sub-pl002,154,20.0
sub-pl002,155,18.0
sub-pl002,156,14.0
sub-pl002,157,14.0
sub-pl002,158,14.0
sub-pl002,159,14.0
sub-pl002,160,20.0
sub-pl002,161,16.0
sub-pl002,162,19.0
sub-pl002,163,18.0
sub-pl002,164,11.0
sub-pl002,165,11.0
sub-pl002,166,14.0
sub-pl002,167,10.0
sub-pl002,168,24.0
sub-pl002,169,23.0
sub-pl002,170,17.0
sub-pl002,171,14.0
sub-pl002,172,20.0
sub-pl002,173,18.0
sub-pl002,174,12.0
sub-pl002,175,13.0
sub-pl002,176,24.0
sub-pl002,177,41.0
sub-pl002,178,17.0
sub-pl002,179,7.0
sub-pl002,180,35.0
sub-pl002,181,40.0
sub-pl002,182,14.0
sub-pl002,183,7.0
sub-pl002,184,17.0
sub-pl002,185,15.0
sub-pl002,186,16.0
sub-pl002,187,8.0
sub-pl002,188,9.0
sub-pl002,189,10.0
sub-pl002,190,10.0
sub-pl002,191,9.0
sub-pl002,192,10.0
sub-pl002,193,9.0
sub-pl002,194,12.0
sub-pl002,195,14.0
sub-pl002,196,14.0
sub-pl002,197,15.0
sub-pl002,198,13.0
sub-pl002,199,15.0
sub-pl002,200,19.0
sub-pl002,201,19.0
sub-pl002,202,13.0
sub-pl002,203,13.0
sub-pl002,204,12.0
sub-pl002,205,11.0
sub-pl002,206,11.0
sub-pl002,207,14.0
sub-pl002,208,16.0
sub-pl002,209,15.0
sub-pl002,210,63.0
sub-pl002,211,40.0
sub-pl002,212,55.0
sub-pl002,213,12.0
sub-pl002,214,59.0
sub-pl002,215,13.0
sub-pl002,216,8.0
sub-pl002,217,6.0
sub-pl002,218,55.0
sub-pl002,219,39.0
sub-pl002,220,59.0
sub-pl002,221,8.0
sub-pl002,222,12.0
sub-pl002,223,3.0
sub-pl002,224,3.0
sub-pl006,0,23.0
sub-pl006,1,28.0
sub-pl006,2,25.0
sub-pl006,3,18.0
sub-pl006,4,26.0
sub-pl006,5,26.0
sub-pl006,6,18.0
sub-pl006,7,16.0
sub-pl006,8,25.0
sub-pl006,9,25.0
sub-pl006,10,19.0
sub-pl006,11,24.0
sub-pl006,12,27.0
sub-pl006,13,23.0
sub-pl006,14,27.0
sub-pl006,15,27.0
sub-pl006,16,21.0
sub-pl006,17,18.0
sub-pl006,18,23.0
sub-pl006,19,26.0
sub-pl006,20,28.0
sub-pl006,21,28.0
sub-pl006,22,23.0
sub-pl006,23,23.0
sub-pl006,24,22.0
sub-pl006,25,23.0
sub-pl006,26,22.0
sub-pl006,27,23.0
sub-pl006,28,9.0
sub-pl006,29,14.0
sub-pl006,30,15.0
sub-pl006,31,8.0
sub-pl006,32,9.0
sub-pl006,33,13.0
sub-pl006,34,15.0
sub-pl006,35,15.0
sub-pl006,36,28.0
sub-pl006,37,24.0
sub-pl006,38,10.0
sub-pl006,39,10.0
sub-pl006,40,17.0
sub-pl006,41,13.0
sub-pl006,42,18.0
sub-pl006,43,14.0
sub-pl006,44,21.0
sub-pl006,45,20.0
sub-pl006,46,15.0
sub-pl006,47,17.0
sub-pl006,48,21.0
sub-pl006,49,13.0
sub-pl006,50,18.0
sub-pl006,51,16.0
sub-pl006,52,25.0
sub-pl006,53,16.0
sub-pl006,54,24.0
sub-pl006,55,27.0
sub-pl006,56,20.0
sub-pl006,57,21.0
sub-pl006,58,20.0
sub-pl006,59,18.0
sub-pl006,60,15.0
sub-pl006,61,17.0
sub-pl006,62,21.0
sub-pl006,63,18.0
sub-pl006,64,11.0
sub-pl006,65,16.0
sub-pl006,66,10.0
sub-pl006,67,15.0
sub-pl006,68,11.0
sub-pl006,69,9.0
sub-pl006,70,12.0
sub-pl006,71,7.0
sub-pl006,72,12.0
sub-pl006,73,12.0
sub-pl006,74,12.0
sub-pl006,75,12.0
sub-pl006,76,8.0
sub-pl006,77,15.0
sub-pl006,78,13.0
sub-pl006,79,8.0
sub-pl006,80,13.0
sub-pl006,81,14.0
sub-pl006,82,16.0
sub-pl006,83,14.0
sub-pl006,84,13.0
sub-pl006,85,13.0
sub-pl006,86,17.0
sub-pl006,87,19.0
sub-pl006,88,5.0
sub-pl006,89,4.0
sub-pl006,90,6.0
sub-pl006,91,3.0
sub-pl006,92,12.0
sub-pl006,93,10.0
sub-pl006,94,12.0
sub-pl006,95,13.0
sub-pl006,96,9.0
sub-pl006,97,5.0
sub-pl006,98,12.0
sub-pl006,99,9.0
sub-pl006,100,10.0
sub-pl006,101,11.0
sub-pl006,102,18.0
sub-pl006,103,15.0
sub-pl006,104,13.0
sub-pl006,105,11.0
sub-pl006,106,14.0
sub-pl006,107,13.0
sub-pl006,108,2.0
sub-pl006,109,2.0
sub-pl006,110,4.0
sub-pl006,111,3.0
sub-pl006,112,6.0
sub-pl006,113,6.0
sub-pl006,114,1.0
sub-pl006,115,0.0
sub-pl006,116,0.0
sub-pl006,117,0.0
sub-pl006,118,5.0
sub-pl006,119,7.0
sub-pl006,120,11.0
sub-pl006,121,10.0
sub-pl006,122,8.0
sub-pl006,123,10.0
sub-pl006,124,10.0
sub-pl006,125,16.0
sub-pl006,126,12.0
sub-pl006,127,12.0
sub-pl006,128,15.0
sub-pl006,129,8.0
sub-pl006,130,20.0
sub-pl006,131,15.0
sub-pl006,132,11.0
sub-pl006,133,8.0
sub-pl006,134,16.0
sub-pl006,135,22.0
sub-pl006,136,21.0
sub-pl006,137,18.0
sub-pl006,138,17.0
sub-pl006,139,22.0
sub-pl006,140,23.0
sub-pl006,141,29.0
sub-pl006,142,26.0
sub-pl006,143,19.0
sub-pl006,144,23.0
sub-pl006,145,26.0
sub-pl006,146,8.0
sub-pl006,147,10.0
sub-pl006,148,19.0
sub-pl006,149,17.0
sub-pl006,150,22.0
sub-pl006,151,23.0
sub-pl006,152,9.0
sub-pl006,153,12.0
sub-pl006,154,20.0
sub-pl006,155,17.0
sub-pl006,156,14.0
sub-pl006,157,14.0
sub-pl006,158,14.0
sub-pl006,159,14.0
sub-pl006,160,20.0
sub-pl006,161,16.0
sub-pl006,162,19.0
sub-pl006,163,19.0
sub-pl006,164,11.0
sub-pl006,165,11.0
sub-pl006,166,15.0
sub-pl006,167,11.0
sub-pl006,168,26.0
sub-pl006,169,23.0
sub-pl006,170,17.0
sub-pl006,171,14.0
sub-pl006,172,19.0
sub-pl006,173,18.0
sub-pl006,174,12.0
sub-pl006,175,13.0
sub-pl006,176,26.0
sub-pl006,177,40.0
sub-pl006,178,17.0
sub-pl006,179,7.0
sub-pl006,180,36.0
sub-pl006,181,40.0
sub-pl006,182,14.0
sub-pl006,183,7.0
sub-pl006,184,18.0
sub-pl006,185,15.0
sub-pl006,186,17.0
sub-pl006,187,8.0
sub-pl006,188,9.0
sub-pl006,189,10.0
sub-pl006,190,10.0
sub-pl006,191,9.0
sub-pl006,192,10.0
sub-pl006,193,9.0
sub-pl006,194,12.0
sub-pl006,195,14.0
sub-pl006,196,15.0
sub-pl006,197,15.0
sub-pl006,198,13.0
sub-pl006,199,15.0
sub-pl006,200,19.0
sub-pl006,201,19.0
sub-pl006,202,13.0
sub-pl006,203,13.0
sub-pl006,204,13.0
sub-pl006,205,11.0
sub-pl006,206,11.0
sub-pl006,207,14.0
sub-pl006,208,17.0
sub-pl006,209,15.0
sub-pl006,210,62.0
sub-pl006,211,40.0
sub-pl006,212,58.0
sub-pl006,213,12.0
sub-pl006,214,58.0
sub-pl006,215,14.0
sub-pl006,216,8.0
sub-pl006,217,6.0
sub-pl006,218,55.0
sub-pl006,219,39.0
sub-pl006,220,59.0
sub-pl006,221,8.0
sub-pl006,222,12.0
sub-pl006,223,3.0
sub-pl006,224,3.0
sub-pl015,0,23.0
sub-pl015,1,27.0
sub-pl015,2,26.0
sub-pl015,3,18.0
sub-pl015,4,26.0
sub-pl015,5,25.0
sub-pl015,6,18.0
sub-pl015,7,16.0
sub-pl015,8,25.0
sub-pl015,9,24.0
sub-pl015,10,20.0
sub-pl015,11,24.0
sub-pl015,12,27.0
sub-pl015,13,23.0
sub-pl015,14,27.0
sub-pl015,15,27.0
sub-pl015,16,22.0
sub-pl015,17,18.0
sub-pl015,18,22.0
sub-pl015,19,26.0
sub-pl015,20,28.0
sub-pl015,21,28.0
sub-pl015,22,23.0
sub-pl015,23,23.0
sub-pl015,24,22.0
sub-pl015,25,24.0
sub-pl015,26,22.0
sub-pl015,27,22.0
sub-pl015,28,9.0
sub-pl015,29,14.0
sub-pl015,30,14.0
sub-pl015,31,8.0
sub-pl015,32,9.0
