subject,subject,roi,centrality
sub-pl002,sub-pl002,0,24.0
sub-pl002,sub-pl002,1,36.0
sub-pl002,sub-pl002,2,29.0
sub-pl002,sub-pl002,3,21.0
sub-pl002,sub-pl002,4,31.0
sub-pl002,sub-pl002,5,30.0
sub-pl002,sub-pl002,6,23.0
sub-pl002,sub-pl002,7,22.0
sub-pl002,sub-pl002,8,35.0
sub-pl002,sub-pl002,9,30.0
sub-pl002,sub-pl002,10,22.0
sub-pl002,sub-pl002,11,29.0
sub-pl002,sub-pl002,12,28.0
sub-pl002,sub-pl002,13,24.0
sub-pl002,sub-pl002,14,29.0
sub-pl002,sub-pl002,15,29.0
sub-pl002,sub-pl002,16,29.0
sub-pl002,sub-pl002,17,20.0
sub-pl002,sub-pl002,18,25.0
sub-pl002,sub-pl002,19,26.0
sub-pl002,sub-pl002,20,29.0
sub-pl002,sub-pl002,21,29.0
sub-pl002,sub-pl002,22,32.0
sub-pl002,sub-pl002,23,28.0
sub-pl002,sub-pl002,24,25.0
sub-pl002,sub-pl002,25,27.0
sub-pl002,sub-pl002,26,26.0
sub-pl002,sub-pl002,27,26.0
sub-pl002,sub-pl002,28,12.0
sub-pl002,sub-pl002,29,16.0
sub-pl002,sub-pl002,30,15.0
sub-pl002,sub-pl002,31,11.0
sub-pl002,sub-pl002,32,15.0
sub-pl002,sub-pl002,33,15.0
sub-pl002,sub-pl002,34,17.0
sub-pl002,sub-pl002,35,16.0
sub-pl002,sub-pl002,36,30.0
sub-pl002,sub-pl002,37,27.0
sub-pl002,sub-pl002,38,15.0
sub-pl002,sub-pl002,39,14.0
sub-pl002,sub-pl002,40,17.0
sub-pl002,sub-pl002,41,17.0
sub-pl002,sub-pl002,42,17.0
sub-pl002,sub-pl002,43,15.0
sub-pl002,sub-pl002,44,22.0
sub-pl002,sub-pl002,45,23.0
sub-pl002,sub-pl002,46,18.0
sub-pl002,sub-pl002,47,18.0
sub-pl002,sub-pl002,48,25.0
sub-pl002,sub-pl002,49,18.0
sub-pl002,sub-pl002,50,20.0
sub-pl002,sub-pl002,51,18.0
sub-pl002,sub-pl002,52,30.0
sub-pl002,sub-pl002,53,24.0
sub-pl002,sub-pl002,54,26.0
sub-pl002,sub-pl002,55,35.0
sub-pl002,sub-pl002,56,24.0
sub-pl002,sub-pl002,57,24.0
sub-pl002,sub-pl002,58,24.0
sub-pl002,sub-pl002,59,21.0
sub-pl002,sub-pl002,60,19.0
sub-pl002,sub-pl002,61,18.0
sub-pl002,sub-pl002,62,26.0
sub-pl002,sub-pl002,63,22.0
sub-pl002,sub-pl002,64,10.0
sub-pl002,sub-pl002,65,16.0
sub-pl002,sub-pl002,66,16.0
sub-pl002,sub-pl002,67,18.0
sub-pl002,sub-pl002,68,13.0
sub-pl002,sub-pl002,69,11.0
sub-pl002,sub-pl002,70,13.0
sub-pl002,sub-pl002,71,13.0
sub-pl002,sub-pl002,72,16.0
sub-pl002,sub-pl002,73,14.0
sub-pl002,sub-pl002,74,15.0
sub-pl002,sub-pl002,75,12.0
sub-pl002,sub-pl002,76,10.0
sub-pl002,sub-pl002,77,15.0
sub-pl002,sub-pl002,78,15.0
sub-pl002,sub-pl002,79,11.0
sub-pl002,sub-pl002,80,12.0
sub-pl002,sub-pl002,81,17.0
sub-pl002,sub-pl002,82,17.0
sub-pl002,sub-pl002,83,19.0
sub-pl002,sub-pl002,84,15.0
sub-pl002,sub-pl002,85,15.0
sub-pl002,sub-pl002,86,18.0
sub-pl002,sub-pl002,87,20.0
sub-pl002,sub-pl002,88,5.0
sub-pl002,sub-pl002,89,5.0
sub-pl002,sub-pl002,90,7.0
sub-pl002,sub-pl002,91,4.0
sub-pl002,sub-pl002,92,13.0
sub-pl002,sub-pl002,93,11.0
sub-pl002,sub-pl002,94,14.0
sub-pl002,sub-pl002,95,18.0
sub-pl002,sub-pl002,96,10.0
sub-pl002,sub-pl002,97,9.0
sub-pl002,sub-pl002,98,14.0
sub-pl002,sub-pl002,99,10.0
sub-pl002,sub-pl002,100,11.0
sub-pl002,sub-pl002,101,13.0
sub-pl002,sub-pl002,102,20.0
sub-pl002,sub-pl002,103,17.0
sub-pl002,sub-pl002,104,15.0
sub-pl002,sub-pl002,105,14.0
sub-pl002,sub-pl002,106,16.0
sub-pl002,sub-pl002,107,17.0
sub-pl002,sub-pl002,108,3.0
sub-pl002,sub-pl002,109,4.0
sub-pl002,sub-pl002,110,4.0
sub-pl002,sub-pl002,111,3.0
sub-pl002,sub-pl002,112,7.0
sub-pl002,sub-pl002,113,8.0
sub-pl002,sub-pl002,114,2.0
sub-pl002,sub-pl002,115,0.0
sub-pl002,sub-pl002,116,0.0
sub-pl002,sub-pl002,117,0.0
sub-pl002,sub-pl002,118,7.0
sub-pl002,sub-pl002,119,7.0
sub-pl002,sub-pl002,120,12.0
sub-pl002,sub-pl002,121,11.0
sub-pl002,sub-pl002,122,12.0
sub-pl002,sub-pl002,123,11.0
sub-pl002,sub-pl002,124,17.0
sub-pl002,sub-pl002,125,23.0
sub-pl002,sub-pl002,126,17.0
sub-pl002,sub-pl002,127,18.0
sub-pl002,sub-pl002,128,18.0
sub-pl002,sub-pl002,129,10.0
sub-pl002,sub-pl002,130,21.0
sub-pl002,sub-pl002,131,17.0
sub-pl002,sub-pl002,132,12.0
sub-pl002,sub-pl002,133,11.0
sub-pl002,sub-pl002,134,24.0
sub-pl002,sub-pl002,135,26.0
sub-pl002,sub-pl002,136,25.0
sub-pl002,sub-pl002,137,26.0
sub-pl002,sub-pl002,138,22.0
sub-pl002,sub-pl002,139,23.0
sub-pl002,sub-pl002,140,31.0
sub-pl002,sub-pl002,141,34.0
sub-pl002,sub-pl002,142,29.0
sub-pl002,sub-pl002,143,25.0
sub-pl002,sub-pl002,144,27.0
sub-pl002,sub-pl002,145,29.0
sub-pl002,sub-pl002,146,15.0
sub-pl002,sub-pl002,147,13.0
sub-pl002,sub-pl002,148,20.0
sub-pl002,sub-pl002,149,19.0
sub-pl002,sub-pl002,150,26.0
sub-pl002,sub-pl002,151,27.0
sub-pl002,sub-pl002,152,11.0
sub-pl002,sub-pl002,153,12.0
sub-pl002,sub-pl002,154,20.0
sub-pl002,sub-pl002,155,19.0
sub-pl002,sub-pl002,156,17.0
sub-pl002,sub-pl002,157,15.0
sub-pl002,sub-pl002,158,14.0
sub-pl002,sub-pl002,159,18.0
sub-pl002,sub-pl002,160,24.0
sub-pl002,sub-pl002,161,18.0
sub-pl002,sub-pl002,162,19.0
sub-pl002,sub-pl002,163,23.0
sub-pl002,sub-pl002,164,13.0
sub-pl002,sub-pl002,165,13.0
sub-pl002,sub-pl002,166,16.0
sub-pl002,sub-pl002,167,10.0
sub-pl002,sub-pl002,168,31.0
sub-pl002,sub-pl002,169,28.0
sub-pl002,sub-pl002,170,19.0
sub-pl002,sub-pl002,171,19.0
sub-pl002,sub-pl002,172,27.0
sub-pl002,sub-pl002,173,22.0
sub-pl002,sub-pl002,174,13.0
sub-pl002,sub-pl002,175,11.0
sub-pl002,sub-pl002,176,24.0
sub-pl002,sub-pl002,177,42.0
sub-pl002,sub-pl002,178,18.0
sub-pl002,sub-pl002,179,11.0
sub-pl002,sub-pl002,180,41.0
sub-pl002,sub-pl002,181,43.0
sub-pl002,sub-pl002,182,18.0
sub-pl002,sub-pl002,183,10.0
sub-pl002,sub-pl002,184,20.0
sub-pl002,sub-pl002,185,16.0
sub-pl002,sub-pl002,186,19.0
sub-pl002,sub-pl002,187,9.0
sub-pl002,sub-pl002,188,10.0
sub-pl002,sub-pl002,189,12.0
sub-pl002,sub-pl002,190,11.0
sub-pl002,sub-pl002,191,11.0
sub-pl002,sub-pl002,192,12.0
sub-pl002,sub-pl002,193,10.0
sub-pl002,sub-pl002,194,12.0
sub-pl002,sub-pl002,195,16.0
sub-pl002,sub-pl002,196,18.0
sub-pl002,sub-pl002,197,14.0
sub-pl002,sub-pl002,198,15.0
sub-pl002,sub-pl002,199,16.0
sub-pl002,sub-pl002,200,19.0
sub-pl002,sub-pl002,201,21.0
sub-pl002,sub-pl002,202,15.0
sub-pl002,sub-pl002,203,15.0
sub-pl002,sub-pl002,204,14.0
sub-pl002,sub-pl002,205,13.0
sub-pl002,sub-pl002,206,15.0
sub-pl002,sub-pl002,207,18.0
sub-pl002,sub-pl002,208,24.0
sub-pl002,sub-pl002,209,19.0
sub-pl002,sub-pl002,210,74.0
sub-pl002,sub-pl002,211,45.0
sub-pl002,sub-pl002,212,70.0
sub-pl002,sub-pl002,213,12.0
sub-pl002,sub-pl002,214,77.0
sub-pl002,sub-pl002,215,17.0
sub-pl002,sub-pl002,216,9.0
sub-pl002,sub-pl002,217,8.0
sub-pl002,sub-pl002,218,61.0
sub-pl002,sub-pl002,219,47.0
sub-pl002,sub-pl002,220,67.0
sub-pl002,sub-pl002,221,8.0
sub-pl002,sub-pl002,222,17.0
sub-pl002,sub-pl002,223,4.0
sub-pl002,sub-pl002,224,5.0
sub-pl004,sub-pl004,0,24.0
sub-pl004,sub-pl004,1,38.0
sub-pl004,sub-pl004,2,30.0
sub-pl004,sub-pl004,3,21.0
sub-pl004,sub-pl004,4,31.0
sub-pl004,sub-pl004,5,30.0
sub-pl004,sub-pl004,6,23.0
sub-pl004,sub-pl004,7,22.0
sub-pl004,sub-pl004,8,33.0
sub-pl004,sub-pl004,9,29.0
sub-pl004,sub-pl004,10,23.0
sub-pl004,sub-pl004,11,29.0
sub-pl004,sub-pl004,12,28.0
sub-pl004,sub-pl004,13,24.0
sub-pl004,sub-pl004,14,29.0
sub-pl004,sub-pl004,15,30.0
sub-pl004,sub-pl004,16,29.0
sub-pl004,sub-pl004,17,23.0
sub-pl004,sub-pl004,18,25.0
sub-pl004,sub-pl004,19,26.0
sub-pl004,sub-pl004,20,30.0
sub-pl004,sub-pl004,21,29.0
sub-pl004,sub-pl004,22,32.0
sub-pl004,sub-pl004,23,28.0
sub-pl004,sub-pl004,24,25.0
sub-pl004,sub-pl004,25,25.0
sub-pl004,sub-pl004,26,25.0
sub-pl004,sub-pl004,27,26.0
sub-pl004,sub-pl004,28,12.0
sub-pl004,sub-pl004,29,16.0
sub-pl004,sub-pl004,30,15.0
sub-pl004,sub-pl004,31,11.0
sub-pl004,sub-pl004,32,14.0
sub-pl004,sub-pl004,33,15.0
sub-pl004,sub-pl004,34,16.0
sub-pl004,sub-pl004,35,16.0
sub-pl004,sub-pl004,36,30.0
sub-pl004,sub-pl004,37,27.0
sub-pl004,sub-pl004,38,15.0
sub-pl004,sub-pl004,39,14.0
sub-pl004,sub-pl004,40,17.0
sub-pl004,sub-pl004,41,17.0
sub-pl004,sub-pl004,42,18.0
sub-pl004,sub-pl004,43,15.0
sub-pl004,sub-pl004,44,21.0
