subject,roi,centrality
sub-pl007,0,0.04118533952144757
sub-pl007,1,0.11355617825569311
sub-pl007,2,0.04530902434557441
sub-pl007,3,0.05254034046074887
sub-pl007,4,0.045528105525027056
sub-pl007,5,0.08333722278503089
sub-pl007,6,0.0453901151922397
sub-pl007,7,0.06985029447235501
sub-pl007,8,0.05475540487018998
sub-pl007,9,0.07898000505031906
sub-pl007,10,0.02773954104539762
sub-pl007,11,0.05140196599368459
sub-pl007,12,0.03235106245882475
sub-pl007,13,0.044461627169641756
sub-pl007,14,0.04071841984199846
sub-pl007,15,0.061344992045619336
sub-pl007,16,0.01562939037687278
sub-pl007,17,0.014445455560459175
sub-pl007,18,0.02566126710585483
sub-pl007,19,0.059483777379241036
sub-pl007,20,0.03850486426358405
sub-pl007,21,0.06106376288410899
sub-pl007,22,0.03946732526123029
sub-pl007,23,0.04500294318960898
sub-pl007,24,0.023705819452608076
sub-pl007,25,0.03250112505752205
sub-pl007,26,0.023438319174860587
sub-pl007,27,0.08284743949655012
sub-pl007,28,0.0038415678467703363
sub-pl007,29,0.004324637559947105
sub-pl007,30,0.0059526434172472295
sub-pl007,31,0.005287371907674472
sub-pl007,32,0.006442083450062049
sub-pl007,33,0.014579513401661673
sub-pl007,34,0.006281221867351997
sub-pl007,35,0.02198135337488924
sub-pl007,36,0.015155160568311406
sub-pl007,37,0.03189564100230578
sub-pl007,38,0.009383239847711146
sub-pl007,39,0.007019981688864832
sub-pl007,40,0.016642236671921044
sub-pl007,41,0.020771250544538336
sub-pl007,42,0.023012284738389236
sub-pl007,43,0.025596808135444873
sub-pl007,44,0.026810934752630418
sub-pl007,45,0.061741838776916094
sub-pl007,46,0.025214459623831488
sub-pl007,47,0.028503928169045373
sub-pl007,48,0.08138625901068554
sub-pl007,49,0.043047491954529456
sub-pl007,50,0.016221579094419934
sub-pl007,51,0.03124104908318757
sub-pl007,52,0.03939575187322088
sub-pl007,53,0.01630930857058166
sub-pl007,54,0.034893927144606006
sub-pl007,55,0.07981654202581454
sub-pl007,56,0.03682291997131243
sub-pl007,57,0.06600334811390854
sub-pl007,58,0.06766473286231016
sub-pl007,59,0.09760440972817058
sub-pl007,60,0.011828785796509034
sub-pl007,61,0.01974750547432085
sub-pl007,62,0.01817093118065272
sub-pl007,63,0.02070742954358459
sub-pl007,64,0.014996411382248635
sub-pl007,65,0.03898298128932512
sub-pl007,66,0.027644542534438443
sub-pl007,67,0.06891093929172756
sub-pl007,68,0.009534555747556388
sub-pl007,69,0.016587620263815137
sub-pl007,70,0.006970817398543401
sub-pl007,71,0.008460428428885157
sub-pl007,72,0.020658964518499464
sub-pl007,73,0.03648480028188373
sub-pl007,74,0.0042170149473206705
sub-pl007,75,0.015090746056237232
sub-pl007,76,0.003084606712432945
sub-pl007,77,0.020069884341948358
sub-pl007,78,0.01643996218119822
sub-pl007,79,0.003155111872771218
sub-pl007,80,0.004597447533753187
sub-pl007,81,0.012202261865131866
sub-pl007,82,0.00557305355936609
sub-pl007,83,0.020408727692931117
sub-pl007,84,0.002545516060399645
sub-pl007,85,0.005030565483966266
sub-pl007,86,0.005420357394019411
sub-pl007,87,0.04391149719521237
sub-pl007,88,0.0001020329623308025
sub-pl007,89,0.0006930876131441132
sub-pl007,90,0.00048061988493394676
sub-pl007,91,0.0002777673339279469
sub-pl007,92,0.0013708446378558146
sub-pl007,93,0.017883276791689894
sub-pl007,94,0.0015522039234733128
sub-pl007,95,0.007683358439035106
sub-pl007,96,0.0009815243354151836
sub-pl007,97,0.0012843139705266443
sub-pl007,98,0.0007064230632819893
sub-pl007,99,0.0007163004073134208
sub-pl007,100,0.0003499048968633246
sub-pl007,101,0.0019934220644489387
sub-pl007,102,0.0037529301536020987
sub-pl007,103,0.013406028345014491
sub-pl007,104,0.003715855572261023
sub-pl007,105,0.006215457107958339
sub-pl007,106,0.00194064914906461
sub-pl007,107,0.004233704602961922
sub-pl007,108,0.0006917432158084667
sub-pl007,109,0.0003697190070763634
sub-pl007,110,0.0002867912598887297
sub-pl007,111,0.0006159315087561591
sub-pl007,112,0.0007022856207143706
sub-pl007,113,0.0011284445221380628
sub-pl007,114,0.00032522290702936054
sub-pl007,115,0.0
sub-pl007,116,0.0
sub-pl007,117,0.0
sub-pl007,118,0.0003229267538352157
sub-pl007,119,0.0012551783344409216
sub-pl007,120,0.0024546877402714345
sub-pl007,121,0.0066795357146925555
sub-pl007,122,0.0018412985722399192
sub-pl007,123,0.003278718603517759
sub-pl007,124,0.0031200979374990364
sub-pl007,125,0.019118279147318066
sub-pl007,126,0.004397273872239727
sub-pl007,127,0.006905968044920368
sub-pl007,128,0.007727868682787468
sub-pl007,129,0.005028842422843353
sub-pl007,130,0.024134808354691985
sub-pl007,131,0.016866132587806518
sub-pl007,132,0.0034056418329258356
sub-pl007,133,0.00195193889223552
sub-pl007,134,0.012161103779918171
sub-pl007,135,0.018190826577029882
sub-pl007,136,0.0189136077546412
sub-pl007,137,0.008626983293341176
sub-pl007,138,0.012713327448737642
sub-pl007,139,0.014005830037469013
sub-pl007,140,0.011961453532935817
sub-pl007,141,0.011362959557950313
sub-pl007,142,0.013444060643736872
sub-pl007,143,0.008007913326240427
sub-pl007,144,0.015384174797268536
sub-pl007,145,0.032251885105099666
sub-pl007,146,0.0022155703142193264
sub-pl007,147,0.006933995333589175
sub-pl007,148,0.005792074046484791
sub-pl007,149,0.02659009510426093
sub-pl007,150,0.008089096188321406
sub-pl007,151,0.012025986677925737
sub-pl007,152,0.003942385455121315
sub-pl007,153,0.012258160393078851
sub-pl007,154,0.029714696581694174
sub-pl007,155,0.04190310508127644
sub-pl007,156,0.011094457229065704
sub-pl007,157,0.025024890240129653
sub-pl007,158,0.017842356738479254
sub-pl007,159,0.017777930848254863
sub-pl007,160,0.0403776015990561
sub-pl007,161,0.07195633883797035
sub-pl007,162,0.03267232089338783
sub-pl007,163,0.04178451577066199
sub-pl007,164,0.011487053146968872
sub-pl007,165,0.02437843309579788
sub-pl007,166,0.008114851990964652
sub-pl007,167,0.008083315726045518
sub-pl007,168,0.03277855037244305
sub-pl007,169,0.05293260043028913
sub-pl007,170,0.029968971640541447
sub-pl007,171,0.04292823869052334
sub-pl007,172,0.033303360121353695
sub-pl007,173,0.049616262503365934
sub-pl007,174,0.002749911719966076
sub-pl007,175,0.01056900517671396
sub-pl007,176,0.02863366633591651
sub-pl007,177,0.07574843868927546
sub-pl007,178,0.010650281058184004
sub-pl007,179,0.003982249171459337
sub-pl007,180,0.0062464165083287206
sub-pl007,181,0.020570367012677927
sub-pl007,182,0.0069557434385972014
sub-pl007,183,0.008418179390308363
sub-pl007,184,0.013613437515049233
sub-pl007,185,0.023756876033071937
sub-pl007,186,0.016363284432320692
sub-pl007,187,0.005277901910513307
sub-pl007,188,0.0034978294731015
sub-pl007,189,0.008584590880019569
sub-pl007,190,0.005065140933424762
sub-pl007,191,0.008971403276698495
sub-pl007,192,0.006358337973727192
sub-pl007,193,0.00452702188336095
sub-pl007,194,0.003366559340555791
sub-pl007,195,0.015830786500078214
sub-pl007,196,0.004650668397242662
sub-pl007,197,0.009479477670501509
sub-pl007,198,0.00951373353401336
sub-pl007,199,0.012799800883544826
sub-pl007,200,0.008709494288282785
sub-pl007,201,0.011497284363217107
sub-pl007,202,0.015802690437984535
sub-pl007,203,0.017040631845036458
sub-pl007,204,0.008621601083673243
sub-pl007,205,0.008521873071398752
sub-pl007,206,0.008825453452681114
sub-pl007,207,0.017749683489662008
sub-pl007,208,0.015489045551715956
sub-pl007,209,0.017089256044214133
sub-pl007,210,0.2230019251286796
sub-pl007,211,0.2064369830506097
sub-pl007,212,0.18866350935349416
sub-pl007,213,0.02816001384751996
sub-pl007,214,0.3805663376817093
sub-pl007,215,0.018170437639206716
sub-pl007,216,0.015980710737555633
sub-pl007,217,0.032347742874845826
sub-pl007,218,0.4330386136018171
sub-pl007,219,0.43625019570098317
sub-pl007,220,0.3907451456537851
sub-pl007,221,0.09395433659435236
sub-pl007,222,0.01332199325559091
sub-pl007,223,0.022128195579748187
sub-pl007,224,0.016189294308839107
sub-pl010,0,0.03619089209964561
sub-pl010,1,0.089421215527037
sub-pl010,2,0.034157177734407546
sub-pl010,3,0.04784284743233295
sub-pl010,4,0.046608172023521674
sub-pl010,5,0.062130960411747156
sub-pl010,6,0.04042173319680448
sub-pl010,7,0.0745993343526405
sub-pl010,8,0.043258941464354876
sub-pl010,9,0.06271077421276924
sub-pl010,10,0.025143230152920425
sub-pl010,11,0.03458797043352749
sub-pl010,12,0.03000152124992943
sub-pl010,13,0.024191952979844396
sub-pl010,14,0.036522630255112126
sub-pl010,15,0.052674682997135645
sub-pl010,16,0.013997246260368393
sub-pl010,17,0.009045139950872834
sub-pl010,18,0.03630811629146562
sub-pl010,19,0.05874487935141346
sub-pl010,20,0.04640643627580162
sub-pl010,21,0.051610327083908315
sub-pl010,22,0.020822425687419665
sub-pl010,23,0.040942247491206084
sub-pl010,24,0.025087352683649394
sub-pl010,25,0.024871567310834366
sub-pl010,26,0.037212961288652674
sub-pl010,27,0.0594698493967168
sub-pl010,28,0.0047795579252679216
sub-pl010,29,0.005183049859199087
sub-pl010,30,0.009648445041112345
sub-pl010,31,0.0034952633165512676
sub-pl010,32,0.003588644841356342
sub-pl010,33,0.009784715902622435
sub-pl010,34,0.014316760856555697
sub-pl010,35,0.02053072690602801
sub-pl010,36,0.012618090457699837
sub-pl010,37,0.030510544801804304
sub-pl010,38,0.007643781342778797
sub-pl010,39,0.004101259413631297
sub-pl010,40,0.013821307516276592
sub-pl010,41,0.010423729198600531
sub-pl010,42,0.011127945166949765
sub-pl010,43,0.027262570752643794
sub-pl010,44,0.04054539369284588
sub-pl010,45,0.045454608414491
sub-pl010,46,0.028316593591194306
sub-pl010,47,0.016621703152601714
sub-pl010,48,0.0890747193015758
sub-pl010,49,0.023552395864419567
sub-pl010,50,0.014369329711039287
sub-pl010,51,0.016071849950675447
sub-pl010,52,0.030610703776666345
sub-pl010,53,0.009636306749136554
sub-pl010,54,0.040093850308765645
sub-pl010,55,0.05853483763114587
sub-pl010,56,0.06067782174144698
sub-pl010,57,0.07565363480018861
sub-pl010,58,0.05660630858059774
sub-pl010,59,0.09991855866488478
sub-pl010,60,0.009358039058040668
sub-pl010,61,0.03669653304643641
sub-pl010,62,0.01591841893138866
sub-pl010,63,0.016820701804945
sub-pl010,64,0.015610807791682028
sub-pl010,65,0.02712226902214197
sub-pl010,66,0.013516931809912452
sub-pl010,67,0.05954798430486723
sub-pl010,68,0.006206486057684646
sub-pl010,69,0.009596482931550628
sub-pl010,70,0.003919952976691248
sub-pl010,71,0.001959726645009818
sub-pl010,72,0.017336785918338787
sub-pl010,73,0.010538541015046258
sub-pl010,74,0.0033739308364456326
sub-pl010,75,0.003259881226480736
sub-pl010,76,0.003345396701197471
sub-pl010,77,0.014858570224069981
sub-pl010,78,0.010487363145626517
sub-pl010,79,0.0008683971687468091
sub-pl010,80,0.0014912775282310148
sub-pl010,81,0.005321446812109389
sub-pl010,82,0.01080663838030488
sub-pl010,83,0.02196227204710165
sub-pl010,84,0.001539412344682725
sub-pl010,85,0.00313094592648169
sub-pl010,86,0.010214816393900806
sub-pl010,87,0.016345133990658088
sub-pl010,88,0.000323432651200584
sub-pl010,89,0.00034652992740073925
sub-pl010,90,0.00014149458126390052
sub-pl010,91,0.0004936971290932719
sub-pl010,92,0.001995795449316002
sub-pl010,93,0.014362552934761
sub-pl010,94,0.001891766292551453
sub-pl010,95,0.0071131598779480415
sub-pl010,96,0.0007508314031994585
sub-pl010,97,0.0010696703167679031
sub-pl010,98,0.0004899770168532991
sub-pl010,99,0.0006324088231017896
sub-pl010,100,0.0007379623157959504
sub-pl010,101,0.0016881497858478726
sub-pl010,102,0.010241310552266299
sub-pl010,103,0.004065697442938061
sub-pl010,104,0.0032528335212417083
sub-pl010,105,0.00232361107937094
sub-pl010,106,0.0016863086533996637
sub-pl010,107,0.002714041278220321
sub-pl010,108,0.0005293237492270097
sub-pl010,109,0.0002007607338412463
sub-pl010,110,0.0005548502071943683
sub-pl010,111,0.00080389136851749
sub-pl010,112,0.0002812982256047831
sub-pl010,113,0.0006406497003603153
sub-pl010,114,0.00016588941618169388
sub-pl010,115,0.0
sub-pl010,116,0.0
sub-pl010,117,0.0
sub-pl010,118,0.00030896310398006104
sub-pl010,119,0.0003779717961278541
sub-pl010,120,0.001287547844990988
sub-pl010,121,0.002005827854888464
sub-pl010,122,0.0013502289725868838
sub-pl010,123,0.0018274512933941496
sub-pl010,124,0.0019240792676849328
sub-pl010,125,0.006726560600116745
sub-pl010,126,0.0016520325088040823
sub-pl010,127,0.004004120671953836
sub-pl010,128,0.005306722438709223
sub-pl010,129,0.001577637380250373
sub-pl010,130,0.013114987790251706
sub-pl010,131,0.0126834603877614
sub-pl010,132,0.0006907142013948981
sub-pl010,133,0.003245087919619158
sub-pl010,134,0.008520074681406243
sub-pl010,135,0.017751883568760347
sub-pl010,136,0.007566953818921047
sub-pl010,137,0.006216375028897728
sub-pl010,138,0.007353438863974739
sub-pl010,139,0.0068542837972192265
sub-pl010,140,0.011277986690250477
sub-pl010,141,0.005617018201446029
sub-pl010,142,0.007856334967174246
sub-pl010,143,0.004158792381318023
sub-pl010,144,0.012278298445616544
sub-pl010,145,0.015907529228138696
sub-pl010,146,0.0011818954668950281
sub-pl010,147,0.001402734752905352
sub-pl010,148,0.004353022303011357
sub-pl010,149,0.010321942224345
sub-pl010,150,0.012504676215871927
sub-pl010,151,0.008906620306649134
sub-pl010,152,0.004120411921525155
sub-pl010,153,0.0060676671678308565
sub-pl010,154,0.03434640708337622
sub-pl010,155,0.03389957780044249
sub-pl010,156,0.01010234694975224
sub-pl010,157,0.016076788630038443
sub-pl010,158,0.017607422466479027
sub-pl010,159,0.01268048053435316
sub-pl010,160,0.039022847782024264
sub-pl010,161,0.05546245540620742
sub-pl010,162,0.025780039715617386
sub-pl010,163,0.033214362324552764
sub-pl010,164,0.007433542803318566
sub-pl010,165,0.01076251443008687
sub-pl010,166,0.003955877649702412
sub-pl010,167,0.012140207254652743
sub-pl010,168,0.06540198788441859
sub-pl010,169,0.05801336849410998
sub-pl010,170,0.034984406697912356
sub-pl010,171,0.03742865772287396
sub-pl010,172,0.034448610651166924
sub-pl010,173,0.03733413576917064
sub-pl010,174,0.0027068120108822893
sub-pl010,175,0.004755017198435617
sub-pl010,176,0.030193958573871353
sub-pl010,177,0.059040547382239315
sub-pl010,178,0.010459365757967251
sub-pl010,179,0.000776743796702387
sub-pl010,180,0.006467704024943086
sub-pl010,181,0.00964101326710238
sub-pl010,182,0.007564025228884525
sub-pl010,183,0.0026705846273065675
sub-pl010,184,0.008294643035361007
sub-pl010,185,0.019017791760976423
sub-pl010,186,0.017042212939409444
sub-pl010,187,0.003495597933647363
sub-pl010,188,0.002089264507362986
sub-pl010,189,0.004947576984297535
sub-pl010,190,0.0029710974626594527
sub-pl010,191,0.0031828172529737454
sub-pl010,192,0.0040532648082883685
sub-pl010,193,0.002849276053093805
sub-pl010,194,0.0017440850793857255
sub-pl010,195,0.003521552034987376
sub-pl010,196,0.0038928711539969437
sub-pl010,197,0.0061414420926539275
sub-pl010,198,0.008417584070984502
sub-pl010,199,0.017414390009589286
sub-pl010,200,0.010292560311647386
sub-pl010,201,0.011198865307482543
sub-pl010,202,0.007744685124024313
sub-pl010,203,0.009190238897673418
sub-pl010,204,0.0061484863496715165
sub-pl010,205,0.003536831754439421
sub-pl010,206,0.004546243589440908
sub-pl010,207,0.012138905296963013
sub-pl010,208,0.008643321705617504
sub-pl010,209,0.018863969138472512
sub-pl010,210,0.26259357426632046
sub-pl010,211,0.2860502897207851
sub-pl010,212,0.25774841786184916
sub-pl010,213,0.06003293432117418
sub-pl010,214,0.5071782931747282
sub-pl010,215,0.031294221193300546
sub-pl010,216,0.016590049666978936
sub-pl010,217,0.004840430850792259
sub-pl010,218,0.3775558267608914
sub-pl010,219,0.3458683300066731
sub-pl010,220,0.32885179500134015
sub-pl010,221,0.07172922272371002
sub-pl010,222,0.03485534874948357
sub-pl010,223,0.011841285481392216
sub-pl010,224,0.004274244856810247
sub-pl012,0,0.07987938168160216
sub-pl012,1,0.10770340811722341
sub-pl012,2,0.02896903960952257
sub-pl012,3,0.021159261147554446
sub-pl012,4,0.02369425006344637
sub-pl012,5,0.0406989150505556
sub-pl012,6,0.05756480756947913
sub-pl012,7,0.05807347749927352
sub-pl012,8,0.09806006091898756
sub-pl012,9,0.11425815199883027
sub-pl012,10,0.03412587060334717
sub-pl012,11,0.07523069387155411
sub-pl012,12,0.025061512669312214
sub-pl012,13,0.0418961144108698
sub-pl012,14,0.020973504438055485
sub-pl012,15,0.029718743450823086
sub-pl012,16,0.008718920899133394
sub-pl012,17,0.008900511457926807
sub-pl012,18,0.01558496613824298
sub-pl012,19,0.027448849964474
sub-pl012,20,0.021652939959187236
sub-pl012,21,0.02655746878156284
sub-pl012,22,0.016010387773297222
sub-pl012,23,0.012080075928023338
sub-pl012,24,0.020096469815841036
sub-pl012,25,0.03187275605695369
sub-pl012,26,0.02392353520455447
sub-pl012,27,0.032502334317722974
sub-pl012,28,0.002534952363617493
sub-pl012,29,0.00436414283865641
sub-pl012,30,0.003796294826341793
sub-pl012,31,0.0012361643491256439
sub-pl012,32,0.0021509715320089866
sub-pl012,33,0.0047403325170173255
sub-pl012,34,0.005588248588906266
sub-pl012,35,0.007475157280688183
sub-pl012,36,0.007564143688720265
sub-pl012,37,0.015501252643669966
sub-pl012,38,0.004081446798863075
sub-pl012,39,0.004614031918547113
sub-pl012,40,0.01462630119661387
sub-pl012,41,0.014664897626026184
sub-pl012,42,0.00981623793991097
sub-pl012,43,0.013442125925436326
sub-pl012,44,0.026396784455768173
sub-pl012,45,0.05224500670116784
sub-pl012,46,0.021285637828607876
sub-pl012,47,0.014293887124257889
sub-pl012,48,0.08327685347717992
sub-pl012,49,0.025824740524899466
sub-pl012,50,0.01542374666902059
sub-pl012,51,0.016044316075869914
sub-pl012,52,0.024357060502751653
sub-pl012,53,0.011522532151742515
