subject,subject,roi,centrality
sub-pl002,sub-pl002,0,44.33999111
sub-pl002,sub-pl002,1,67.14314185
sub-pl002,sub-pl002,2,64.83539665
sub-pl002,sub-pl002,3,40.383590749999996
sub-pl002,sub-pl002,4,58.332630089999995
sub-pl002,sub-pl002,5,66.56475162000001
sub-pl002,sub-pl002,6,36.27620151
sub-pl002,sub-pl002,7,31.901343080000004
sub-pl002,sub-pl002,8,53.92132949
sub-pl002,sub-pl002,9,55.59703714
sub-pl002,sub-pl002,10,39.34832795
sub-pl002,sub-pl002,11,67.16978479
sub-pl002,sub-pl002,12,58.55013306000001
sub-pl002,sub-pl002,13,56.562185750000005
sub-pl002,sub-pl002,14,54.839751799999995
sub-pl002,sub-pl002,15,58.68563816
sub-pl002,sub-pl002,16,72.7100032
sub-pl002,sub-pl002,17,45.59899517
sub-pl002,sub-pl002,18,54.056651869999996
sub-pl002,sub-pl002,19,54.67822624
sub-pl002,sub-pl002,20,52.26509577
sub-pl002,sub-pl002,21,64.12855008
sub-pl002,sub-pl002,22,68.91766373
sub-pl002,sub-pl002,23,66.84507777
sub-pl002,sub-pl002,24,49.042776450000005
sub-pl002,sub-pl002,25,39.286771449999996
sub-pl002,sub-pl002,26,61.59156321
sub-pl002,sub-pl002,27,64.73530559000001
sub-pl002,sub-pl002,28,21.12972678
sub-pl002,sub-pl002,29,35.61788703
sub-pl002,sub-pl002,30,20.63182168
sub-pl002,sub-pl002,31,10.535336910000002
sub-pl002,sub-pl002,32,24.723076210000002
sub-pl002,sub-pl002,33,25.6841278
sub-pl002,sub-pl002,34,28.917053019999997
sub-pl002,sub-pl002,35,29.60067118
sub-pl002,sub-pl002,36,36.818087320000004
sub-pl002,sub-pl002,37,44.557307019999996
sub-pl002,sub-pl002,38,20.96179417
sub-pl002,sub-pl002,39,17.55177029
sub-pl002,sub-pl002,40,34.70450395
sub-pl002,sub-pl002,41,34.59001427
sub-pl002,sub-pl002,42,21.53617344
sub-pl002,sub-pl002,43,33.10926766
sub-pl002,sub-pl002,44,55.79008245
sub-pl002,sub-pl002,45,54.12439018
sub-pl002,sub-pl002,46,35.421786080000004
sub-pl002,sub-pl002,47,41.0474733
sub-pl002,sub-pl002,48,48.69978199
sub-pl002,sub-pl002,49,31.992592259999995
sub-pl002,sub-pl002,50,38.15726588
sub-pl002,sub-pl002,51,34.889712349999996
sub-pl002,sub-pl002,52,55.641118479999996
sub-pl002,sub-pl002,53,32.16276146
sub-pl002,sub-pl002,54,47.470364339999996
sub-pl002,sub-pl002,55,50.825715249999995
sub-pl002,sub-pl002,56,56.51312832
sub-pl002,sub-pl002,57,49.52253701
sub-pl002,sub-pl002,58,44.086739539999996
sub-pl002,sub-pl002,59,42.21168937
sub-pl002,sub-pl002,60,32.25298085
sub-pl002,sub-pl002,61,37.74502993
sub-pl002,sub-pl002,62,49.50116861
sub-pl002,sub-pl002,63,41.2022267
sub-pl002,sub-pl002,64,22.99495852
sub-pl002,sub-pl002,65,37.313858950000004
sub-pl002,sub-pl002,66,38.85365299
sub-pl002,sub-pl002,67,47.98498793
sub-pl002,sub-pl002,68,31.373154390000003
sub-pl002,sub-pl002,69,17.1382187
sub-pl002,sub-pl002,70,47.649781669999996
sub-pl002,sub-pl002,71,25.47166843
sub-pl002,sub-pl002,72,42.03062011
sub-pl002,sub-pl002,73,35.532938869999995
sub-pl002,sub-pl002,74,40.03026979
sub-pl002,sub-pl002,75,45.29608817
sub-pl002,sub-pl002,76,13.27800711
sub-pl002,sub-pl002,77,32.226555919999996
sub-pl002,sub-pl002,78,40.91872617
sub-pl002,sub-pl002,79,15.338518239999999
sub-pl002,sub-pl002,80,15.19580703
sub-pl002,sub-pl002,81,40.55891806
sub-pl002,sub-pl002,82,22.211763729999998
sub-pl002,sub-pl002,83,39.13876287
sub-pl002,sub-pl002,84,30.15339624
sub-pl002,sub-pl002,85,41.04010266
sub-pl002,sub-pl002,86,27.884101479999998
sub-pl002,sub-pl002,87,55.26740216
sub-pl002,sub-pl002,88,10.89474088
sub-pl002,sub-pl002,89,8.40833164
sub-pl002,sub-pl002,90,9.75859843
sub-pl002,sub-pl002,91,3.5111748699999996
sub-pl002,sub-pl002,92,20.901206649999995
sub-pl002,sub-pl002,93,15.775879790000001
sub-pl002,sub-pl002,94,14.37704745
sub-pl002,sub-pl002,95,18.304918139999998
sub-pl002,sub-pl002,96,24.65158447
sub-pl002,sub-pl002,97,9.22444521
sub-pl002,sub-pl002,98,16.25909428
sub-pl002,sub-pl002,99,16.03386192
sub-pl002,sub-pl002,100,17.25574532
sub-pl002,sub-pl002,101,23.58940649
sub-pl002,sub-pl002,102,28.00654853
sub-pl002,sub-pl002,103,38.14247948
sub-pl002,sub-pl002,104,65.32606722
sub-pl002,sub-pl002,105,60.837649930000005
sub-pl002,sub-pl002,106,52.8129401
sub-pl002,sub-pl002,107,51.529291380000004
sub-pl002,sub-pl002,108,3.9287124199999996
sub-pl002,sub-pl002,109,2.84079022
sub-pl002,sub-pl002,110,2.73630089
sub-pl002,sub-pl002,111,2.59109272
sub-pl002,sub-pl002,112,3.05715227
sub-pl002,sub-pl002,113,6.1133492
sub-pl002,sub-pl002,114,4.94166275
sub-pl002,sub-pl002,115,0.0
sub-pl002,sub-pl002,116,0.0
sub-pl002,sub-pl002,117,0.34117717
sub-pl002,sub-pl002,118,6.84336031
sub-pl002,sub-pl002,119,7.86577801
sub-pl002,sub-pl002,120,23.317895370000002
sub-pl002,sub-pl002,121,30.349409789999996
sub-pl002,sub-pl002,122,23.984367130000003
sub-pl002,sub-pl002,123,15.8987992
sub-pl002,sub-pl002,124,16.448083309999998
sub-pl002,sub-pl002,125,20.576084
sub-pl002,sub-pl002,126,40.416945690000006
sub-pl002,sub-pl002,127,23.502542589999997
sub-pl002,sub-pl002,128,30.20479952
sub-pl002,sub-pl002,129,23.841935599999996
sub-pl002,sub-pl002,130,17.4290741
sub-pl002,sub-pl002,131,19.04606423
sub-pl002,sub-pl002,132,29.73422104
sub-pl002,sub-pl002,133,17.43483598
sub-pl002,sub-pl002,134,48.79947915
sub-pl002,sub-pl002,135,47.30203831
sub-pl002,sub-pl002,136,45.50439563
sub-pl002,sub-pl002,137,43.181857519999994
sub-pl002,sub-pl002,138,47.548471590000005
sub-pl002,sub-pl002,139,57.445677110000005
sub-pl002,sub-pl002,140,57.14623317
sub-pl002,sub-pl002,141,60.54787505
sub-pl002,sub-pl002,142,81.29339579
sub-pl002,sub-pl002,143,57.087252719999995
sub-pl002,sub-pl002,144,57.00487133
sub-pl002,sub-pl002,145,74.02553175
sub-pl002,sub-pl002,146,21.12973642
sub-pl002,sub-pl002,147,19.887990499999997
sub-pl002,sub-pl002,148,26.258444710000003
sub-pl002,sub-pl002,149,29.52044886
sub-pl002,sub-pl002,150,60.129328300000005
sub-pl002,sub-pl002,151,66.11862853
sub-pl002,sub-pl002,152,37.95407665
sub-pl002,sub-pl002,153,35.72538381
sub-pl002,sub-pl002,154,49.60552456
sub-pl002,sub-pl002,155,46.74556574
sub-pl002,sub-pl002,156,42.68012882000001
sub-pl002,sub-pl002,157,37.7900434
sub-pl002,sub-pl002,158,30.73509602
sub-pl002,sub-pl002,159,40.557285130000004
sub-pl002,sub-pl002,160,56.60510083
sub-pl002,sub-pl002,161,41.152899579999996
sub-pl002,sub-pl002,162,37.76750457
sub-pl002,sub-pl002,163,31.207754210000004
