subject,visit,metric
sub-pl007,1,0.025559916684996034
sub-pl010,1,0.026171123089621325
sub-pl012,1,0.015438350824040891
sub-pl013,1,0.02058189303862573
sub-pl014,1,0.02191146815511029
sub-pl017,1,0.0350092912006489
sub-pl019,1,0.019173114255106493
sub-pl027,1,0.021101538499585692
sub-pl030,1,0.022774868936246438
sub-pl031,1,0.026196952249849192
sub-pl032,1,0.021491803022144606
sub-pl034,1,0.028064487791842
sub-pl035,1,0.023035997451805817
sub-pl036,1,0.019686896549515498
sub-pl038,1,0.02490525384479269
sub-pl042,1,0.026673434999992675
sub-pl047,1,0.01832324801674193
sub-pl049,1,0.025113776201236303
sub-pl050,1,0.020612601081840494
sub-pl055,1,0.01971890246095753
sub-pl056,1,0.023014278239159754
sub-pl063,1,0.02099152995091898
sub-pl064,1,0.0237559303562655
sub-pl007,2,0.01994940626990068
sub-pl010,2,0.024298485541300083
sub-pl012,2,0.016698937834563346
sub-pl013,2,0.02242221655026207
sub-pl014,2,0.023160253541779644
sub-pl017,2,0.03281038921900892
sub-pl019,2,0.02044445100565733
sub-pl027,2,0.022012104355509605
sub-pl030,2,0.03230976033779206
sub-pl031,2,0.02477515743793319
sub-pl032,2,0.02267487995651896
sub-pl034,2,0.025749825206340803
sub-pl035,2,0.02351066217715496
sub-pl036,2,0.020280179032660682
sub-pl038,2,0.025906481306984783
sub-pl042,2,0.026996230414637477
sub-pl047,2,0.018884385151837033
sub-pl049,2,0.02474116147688842
sub-pl050,2,0.021053887209355537
sub-pl055,2,0.02263742329408172
sub-pl056,2,0.024956827619448434
sub-pl063,2,0.022338485534105633
sub-pl064,2,0.02490098362601363
sub-pl007,3,0.026350206863615475
sub-pl010,3,0.022869776430297323
sub-pl012,3,0.018430827542096725
sub-pl013,3,0.0223830764576373
sub-pl014,3,0.024541730158586274
sub-pl017,3,0.029399426483490147
sub-pl019,3,0.021491688062818908
sub-pl027,3,0.022177151862886456
sub-pl030,3,0.03046720868608475
sub-pl031,3,0.025236050171277558
sub-pl032,3,0.022600674895173485
sub-pl034,3,0.025628145934487537
sub-pl035,3,0.02124875369321863
sub-pl036,3,0.02018410067102702
sub-pl038,3,0.025817730693988558
sub-pl042,3,0.027353873532472754
sub-pl047,3,0.018990432072470677
sub-pl049,3,0.02285605558740188
sub-pl050,3,0.021721937271428685
sub-pl055,3,0.02144430307381181
sub-pl056,3,0.024756283720346384
sub-pl063,3,0.022455194378204004
sub-pl064,3,0.022598119848946056
