subject,visit,metric
sub-pl002,1,0.020096477804693664
sub-pl006,1,0.023246825073293023
sub-pl015,1,0.018575383298476748
sub-pl021,1,0.02294719738369514
sub-pl022,1,0.02100295465503138
sub-pl023,1,0.025590948134867866
sub-pl024,1,0.019985224718305813
sub-pl025,1,0.024929881915678197
sub-pl029,1,0.02403063868956863
sub-pl040,1,0.023940483810188356
sub-pl041,1,0.02031618925049553
sub-pl046,1,0.01923365364522166
sub-pl048,1,0.017275237730277178
sub-pl051,1,0.022390496749693733
sub-pl052,1,0.023553403313317442
sub-pl053,1,0.018747360510989644
sub-pl054,1,0.019806676446316215
sub-pl057,1,0.022194299825857838
sub-pl058,1,0.023719730412165182
sub-pl059,1,0.023987104235519363
sub-pl060,1,0.021088906840377123
sub-pl061,1,0.021839017741322457
sub-pl062,1,0.02081913491597384
sub-pl065,1,0.020157215566528587
sub-pl002,2,0.019554704982795348
sub-pl006,2,0.026172801708364352
sub-pl015,2,0.016337652115770332
sub-pl021,2,0.02304445958810038
sub-pl022,2,0.02054986529899777
sub-pl023,2,0.024678905515099173
sub-pl024,2,0.023017977845215965
sub-pl025,2,0.026360908100803063
sub-pl029,2,0.027384688848667613
sub-pl040,2,0.021129309196011352
sub-pl041,2,0.017640093563445012
sub-pl046,2,0.02029711169249811
sub-pl048,2,0.017100951577757276
sub-pl051,2,0.024192841710198813
sub-pl052,2,0.022580232843028354
sub-pl053,2,0.02048938086956541
sub-pl054,2,0.017502804660502212
sub-pl057,2,0.030770275276295406
sub-pl058,2,0.02255706971596871
sub-pl059,2,0.021149845032974228
sub-pl060,2,0.02489492838740636
sub-pl061,2,0.02389952952846798
sub-pl062,2,0.020427447656650628
sub-pl065,2,0.018577342595243313
sub-pl002,3,0.02101267832618234
sub-pl006,3,0.025292516813952327
sub-pl015,3,0.016880257539083322
sub-pl021,3,0.023400142454563767
sub-pl022,3,0.02570136964778404
sub-pl023,3,0.02654395545983725
sub-pl024,3,0.018439789018020163
sub-pl025,3,0.025592258635605877
sub-pl029,3,0.022367312728194953
sub-pl040,3,0.021189632867389
sub-pl041,3,0.016686885929074285
sub-pl046,3,0.02024966714682934
sub-pl048,3,0.017095461239444287
sub-pl051,3,0.024355220352387033
sub-pl052,3,0.022814202633296764
sub-pl053,3,0.015648689867258796
sub-pl054,3,0.019400526644201787
sub-pl057,3,0.027763143336563847
sub-pl058,3,0.023011500415507157
sub-pl059,3,0.02667511742761539
sub-pl060,3,0.0224518889828181
sub-pl061,3,0.022652656618942456
sub-pl062,3,0.01800380870889956
sub-pl065,3,0.020238618980956954
