subject,visit,metric
sub-pl007,1,0.03691530872362532
sub-pl010,1,0.039012320336330654
sub-pl012,1,0.022551558866234025
sub-pl013,1,0.03356794904719796
sub-pl014,1,0.03449353511778475
sub-pl017,1,0.055068608595379674
sub-pl019,1,0.028985938050996755
sub-pl027,1,0.03184313118342433
sub-pl030,1,0.03845084390735011
sub-pl031,1,0.03961568720850112
sub-pl032,1,0.03471410931869342
sub-pl034,1,0.04588033586020817
sub-pl035,1,0.03492750282891793
sub-pl036,1,0.030458921926209484
sub-pl038,1,0.038892501304114986
sub-pl042,1,0.041866732643271835
sub-pl047,1,0.02958338556745131
sub-pl049,1,0.0387257955160754
sub-pl050,1,0.032103836155541236
sub-pl055,1,0.02900341913815733
sub-pl056,1,0.036376107864038026
sub-pl063,1,0.035731184661167543
sub-pl064,1,0.03736206823052352
sub-pl007,2,0.028607883270469738
sub-pl010,2,0.037403622746533215
sub-pl012,2,0.024737823241688682
sub-pl013,2,0.03586800646491209
sub-pl014,2,0.03658807857997664
sub-pl017,2,0.04972556134437826
sub-pl019,2,0.030883632269149704
sub-pl027,2,0.03377118343952679
sub-pl030,2,0.05163203651915906
sub-pl031,2,0.037740665805949744
sub-pl032,2,0.036242158290022954
sub-pl034,2,0.041750177323170386
sub-pl035,2,0.036132303259083384
sub-pl036,2,0.030817343187017274
sub-pl038,2,0.0394520486394648
sub-pl042,2,0.04304368432248039
sub-pl047,2,0.030898635251641743
sub-pl049,2,0.03661965029430803
sub-pl050,2,0.03299806437413274
sub-pl055,2,0.03310951952869253
sub-pl056,2,0.039863372209297115
sub-pl063,2,0.03874835519340206
sub-pl064,2,0.04017833386218045
sub-pl007,3,0.03761650186524483
sub-pl010,3,0.03288471909122058
sub-pl012,3,0.027057125831206043
sub-pl013,3,0.03716028248967198
sub-pl014,3,0.03795037428419023
sub-pl017,3,0.04534197507349204
sub-pl019,3,0.03146578804272912
sub-pl027,3,0.03383936928043478
sub-pl030,3,0.047440410992492466
sub-pl031,3,0.03776736620913229
sub-pl032,3,0.03572722141369431
sub-pl034,3,0.041526891932912445
sub-pl035,3,0.03206373768547787
sub-pl036,3,0.03029068850382384
sub-pl038,3,0.0391257031673916
sub-pl042,3,0.043396915077981144
sub-pl047,3,0.03101955861489505
sub-pl049,3,0.03378275017381422
sub-pl050,3,0.033497693548197316
sub-pl055,3,0.030897712054862022
sub-pl056,3,0.03836435887259347
sub-pl063,3,0.03861436701032553
sub-pl064,3,0.03729978381083886
