subject,visit,metric
sub-pl007,1,11433.99476922
sub-pl010,1,11238.84642084
sub-pl012,1,11280.08456392
sub-pl013,1,10972.69346306
sub-pl014,1,13438.828243920001
sub-pl017,1,9865.77608086
sub-pl019,1,10555.216089900001
sub-pl027,1,10446.207946819999
sub-pl030,1,10551.32723436
sub-pl031,1,11066.976499
sub-pl032,1,11740.58047092
sub-pl034,1,11209.360537060002
sub-pl035,1,10299.158696800001
sub-pl036,1,10805.152574880001
sub-pl038,1,10847.350612
sub-pl042,1,11400.96624098
sub-pl047,1,12424.120483319999
sub-pl049,1,10978.683881060002
sub-pl050,1,11748.489630479999
sub-pl055,1,11044.4822688
sub-pl056,1,9787.08941528
sub-pl063,1,11303.4626146
sub-pl064,1,10933.844466679999
sub-pl007,2,11223.26378686
sub-pl010,2,11276.58923228
sub-pl012,2,11182.126023660001
sub-pl013,2,10795.45990324
sub-pl014,2,12537.437962979999
sub-pl017,2,9916.01606798
sub-pl019,2,10511.756472459998
sub-pl027,2,10526.826055779999
sub-pl030,2,10527.44463672
sub-pl031,2,10931.77250952
sub-pl032,2,11716.7570026
sub-pl034,2,11325.89104062
sub-pl035,2,10477.43528582
sub-pl036,2,10638.35685856
sub-pl038,2,10894.54109078
sub-pl042,2,11569.07076336
sub-pl047,2,12215.8284201
sub-pl049,2,10814.235623
sub-pl050,2,11862.80990468
sub-pl055,2,11019.39620028
sub-pl056,2,9961.460956559999
sub-pl063,2,11378.825070219998
sub-pl064,2,10776.415082399999
sub-pl007,3,11732.1508136
sub-pl010,3,11298.216847740001
sub-pl012,3,11269.628680600003
sub-pl013,3,10747.30816158
sub-pl014,3,12795.429662539998
sub-pl017,3,9843.4830287
sub-pl019,3,10864.192576280002
sub-pl027,3,10468.88662444
sub-pl030,3,10611.770889559999
sub-pl031,3,10975.2742846
sub-pl032,3,11954.165567580001
sub-pl034,3,11632.80939248
sub-pl035,3,10201.42861942
sub-pl036,3,10511.105756519999
sub-pl038,3,10882.58381706
sub-pl042,3,11530.433848820001
sub-pl047,3,12506.711923359999
sub-pl049,3,10789.8176032
sub-pl050,3,11842.6892519
sub-pl055,3,10890.7986567
sub-pl056,3,9857.33006484
sub-pl063,3,11671.227995879999
sub-pl064,3,10508.41415176
