subject,visit,metric
sub-pl002,1,10212.882508219998
sub-pl006,1,11515.232335159999
sub-pl015,1,12141.614980999999
sub-pl021,1,10512.72887974
sub-pl022,1,13418.23778322
sub-pl023,1,11524.96485336
sub-pl024,1,9953.8928441
sub-pl025,1,10170.19700262
sub-pl029,1,10049.648748399999
sub-pl040,1,12076.93229548
sub-pl041,1,10572.5276987
sub-pl046,1,11033.69341942
sub-pl048,1,11753.529129359998
sub-pl051,1,10370.14746654
sub-pl052,1,11312.25616106
sub-pl053,1,10798.60533264
sub-pl054,1,11068.3771423
sub-pl057,1,9922.90575378
sub-pl058,1,10034.39440014
sub-pl059,1,10143.391648320001
sub-pl060,1,10854.818440759998
sub-pl061,1,10426.706121619998
sub-pl062,1,12209.29593498
sub-pl065,1,9776.47978208
sub-pl002,2,10104.03924608
sub-pl006,2,11619.864736619998
sub-pl015,2,12130.460209780002
sub-pl021,2,10665.767612300002
sub-pl022,2,12930.189392960001
sub-pl023,2,11784.928124099999
sub-pl024,2,10039.08933652
sub-pl025,2,9664.41998826
sub-pl029,2,10081.329392660002
sub-pl040,2,12062.525228539998
sub-pl041,2,10441.450074380002
sub-pl046,2,10908.7140776
sub-pl048,2,11510.41413682
sub-pl051,2,10663.48421758
sub-pl052,2,11537.31571394
sub-pl053,2,10866.1197172
sub-pl054,2,11064.968548140001
sub-pl057,2,9742.0167774
sub-pl058,2,10001.7803127
sub-pl059,2,9982.718305760001
sub-pl060,2,11103.1433226
sub-pl061,2,10646.368487220001
sub-pl062,2,11908.80835616
sub-pl065,2,9655.791906399998
sub-pl002,3,10060.329966820002
sub-pl006,3,11638.71862598
sub-pl015,3,12014.08756462
sub-pl021,3,10533.78102712
sub-pl022,3,13506.712383939997
sub-pl023,3,11638.118807679999
sub-pl024,3,9915.65571262
sub-pl025,3,9934.898800259998
sub-pl029,3,10199.663712500002
sub-pl040,3,12231.56729996
sub-pl041,3,10744.67334414
sub-pl046,3,10919.07241672
sub-pl048,3,11636.202593220001
sub-pl051,3,10498.79932572
sub-pl052,3,11461.726584840002
sub-pl053,3,10768.32882622
sub-pl054,3,11173.332168099998
sub-pl057,3,9693.531850360001
sub-pl058,3,9994.74545492
sub-pl059,3,10193.553473840002
sub-pl060,3,10600.733778599999
sub-pl061,3,10620.811300239999
sub-pl062,3,12421.84501822
sub-pl065,3,9827.214061980001
