subject,subject,roi,centrality
sub-pl007,sub-pl007,0,50.711982309999996
sub-pl007,sub-pl007,1,90.32426254
sub-pl007,sub-pl007,2,74.35395724
sub-pl007,sub-pl007,3,52.46423189
sub-pl007,sub-pl007,4,77.76474637000001
sub-pl007,sub-pl007,5,81.28646155
sub-pl007,sub-pl007,6,49.213012680000006
sub-pl007,sub-pl007,7,43.024507459999995
sub-pl007,sub-pl007,8,74.88399818
sub-pl007,sub-pl007,9,62.75018444
sub-pl007,sub-pl007,10,42.97449421
sub-pl007,sub-pl007,11,59.59792456
sub-pl007,sub-pl007,12,73.50558157
sub-pl007,sub-pl007,13,58.691080219999996
sub-pl007,sub-pl007,14,67.58133639
sub-pl007,sub-pl007,15,70.2218505
sub-pl007,sub-pl007,16,65.99227782
sub-pl007,sub-pl007,17,38.63333529
sub-pl007,sub-pl007,18,53.029685130000004
sub-pl007,sub-pl007,19,59.009436199999996
sub-pl007,sub-pl007,20,69.75203698
sub-pl007,sub-pl007,21,68.59731221
sub-pl007,sub-pl007,22,75.91182615
sub-pl007,sub-pl007,23,51.47192067
sub-pl007,sub-pl007,24,42.55123228
sub-pl007,sub-pl007,25,46.36270522
sub-pl007,sub-pl007,26,56.50573029
sub-pl007,sub-pl007,27,80.19986744
sub-pl007,sub-pl007,28,19.68131082
sub-pl007,sub-pl007,29,18.30492155
sub-pl007,sub-pl007,30,16.809168959999997
sub-pl007,sub-pl007,31,10.7096347
sub-pl007,sub-pl007,32,29.33721295
sub-pl007,sub-pl007,33,23.31435949
sub-pl007,sub-pl007,34,24.776372990000002
sub-pl007,sub-pl007,35,33.40170577
sub-pl007,sub-pl007,36,58.55551564
sub-pl007,sub-pl007,37,48.00520638
sub-pl007,sub-pl007,38,26.35686285
sub-pl007,sub-pl007,39,18.08240826
sub-pl007,sub-pl007,40,37.33322844
sub-pl007,sub-pl007,41,36.68189104
sub-pl007,sub-pl007,42,42.01598398
sub-pl007,sub-pl007,43,30.78183154
sub-pl007,sub-pl007,44,52.97634468
sub-pl007,sub-pl007,45,61.83127542
sub-pl007,sub-pl007,46,45.66567087999999
sub-pl007,sub-pl007,47,38.166481749999996
sub-pl007,sub-pl007,48,76.5396665
sub-pl007,sub-pl007,49,39.23956456
sub-pl007,sub-pl007,50,49.612483870000005
sub-pl007,sub-pl007,51,36.65682059
sub-pl007,sub-pl007,52,70.51510961
sub-pl007,sub-pl007,53,54.83542697
sub-pl007,sub-pl007,54,50.946186929999996
sub-pl007,sub-pl007,55,73.63699215
sub-pl007,sub-pl007,56,50.53916971
sub-pl007,sub-pl007,57,55.96825312
sub-pl007,sub-pl007,58,65.69232294
sub-pl007,sub-pl007,59,61.53882406
sub-pl007,sub-pl007,60,38.92595011
sub-pl007,sub-pl007,61,28.250127889999998
sub-pl007,sub-pl007,62,62.82575213
sub-pl007,sub-pl007,63,42.883363120000006
sub-pl007,sub-pl007,64,36.65524315
sub-pl007,sub-pl007,65,52.28761154000001
sub-pl007,sub-pl007,66,49.85613074
sub-pl007,sub-pl007,67,61.33231379
sub-pl007,sub-pl007,68,40.90267214
sub-pl007,sub-pl007,69,29.14617739
sub-pl007,sub-pl007,70,42.093045489999994
sub-pl007,sub-pl007,71,36.99519109
sub-pl007,sub-pl007,72,47.316869929999996
sub-pl007,sub-pl007,73,43.49256844
sub-pl007,sub-pl007,74,34.58330203999999
sub-pl007,sub-pl007,75,52.79616568
sub-pl007,sub-pl007,76,20.425834099999996
sub-pl007,sub-pl007,77,39.15519626
sub-pl007,sub-pl007,78,38.7982374
sub-pl007,sub-pl007,79,11.43949913
sub-pl007,sub-pl007,80,20.86077177
sub-pl007,sub-pl007,81,37.116371060000006
sub-pl007,sub-pl007,82,33.710586230000004
sub-pl007,sub-pl007,83,33.27207204
sub-pl007,sub-pl007,84,38.37664613
sub-pl007,sub-pl007,85,36.08363322
sub-pl007,sub-pl007,86,30.129627
sub-pl007,sub-pl007,87,74.55939821000001
sub-pl007,sub-pl007,88,6.78805257
sub-pl007,sub-pl007,89,11.64886824
sub-pl007,sub-pl007,90,11.7418383
sub-pl007,sub-pl007,91,3.00200672
