subject,subject,roi,centrality
sub-pl002,sub-pl002,0,44.31492529
sub-pl002,sub-pl002,1,75.24464791
sub-pl002,sub-pl002,2,67.73955676
sub-pl002,sub-pl002,3,48.200277400000004
sub-pl002,sub-pl002,4,62.642459169999995
sub-pl002,sub-pl002,5,69.50796697
sub-pl002,sub-pl002,6,39.32812938
sub-pl002,sub-pl002,7,33.40808055
sub-pl002,sub-pl002,8,51.62120427
sub-pl002,sub-pl002,9,65.36686954
sub-pl002,sub-pl002,10,40.814809749999995
sub-pl002,sub-pl002,11,59.826475620000004
sub-pl002,sub-pl002,12,63.058640870000005
sub-pl002,sub-pl002,13,53.96433956999999
sub-pl002,sub-pl002,14,52.140471770000005
sub-pl002,sub-pl002,15,55.06686643
sub-pl002,sub-pl002,16,65.47018917999999
sub-pl002,sub-pl002,17,47.781172610000006
sub-pl002,sub-pl002,18,57.315967099999995
sub-pl002,sub-pl002,19,59.567835079999995
sub-pl002,sub-pl002,20,57.28780938
sub-pl002,sub-pl002,21,64.91504413
sub-pl002,sub-pl002,22,69.29865271999999
sub-pl002,sub-pl002,23,63.31827972
sub-pl002,sub-pl002,24,51.625190759999995
sub-pl002,sub-pl002,25,37.229652009999995
sub-pl002,sub-pl002,26,59.57178934
sub-pl002,sub-pl002,27,62.97437265
sub-pl002,sub-pl002,28,22.74479647
sub-pl002,sub-pl002,29,38.3093699
sub-pl002,sub-pl002,30,18.87904941
sub-pl002,sub-pl002,31,9.54794711
sub-pl002,sub-pl002,32,22.77197431
sub-pl002,sub-pl002,33,25.56809535
sub-pl002,sub-pl002,34,25.39140658
sub-pl002,sub-pl002,35,27.486444730000002
sub-pl002,sub-pl002,36,40.253145100000005
sub-pl002,sub-pl002,37,45.57880616
sub-pl002,sub-pl002,38,23.33418872
sub-pl002,sub-pl002,39,18.59448658
sub-pl002,sub-pl002,40,34.56268837
sub-pl002,sub-pl002,41,35.48180341
sub-pl002,sub-pl002,42,19.873484059999996
sub-pl002,sub-pl002,43,34.818981859999994
sub-pl002,sub-pl002,44,46.40173601
sub-pl002,sub-pl002,45,55.17262348999999
sub-pl002,sub-pl002,46,35.112442709999996
sub-pl002,sub-pl002,47,38.85368695
sub-pl002,sub-pl002,48,43.28982807
sub-pl002,sub-pl002,49,26.60285158
sub-pl002,sub-pl002,50,39.462964369999995
sub-pl002,sub-pl002,51,35.877271230000005
sub-pl002,sub-pl002,52,54.19210916
sub-pl002,sub-pl002,53,39.241825909999996
sub-pl002,sub-pl002,54,45.922319040000005
sub-pl002,sub-pl002,55,62.546489859999994
sub-pl002,sub-pl002,56,53.56037326
sub-pl002,sub-pl002,57,47.35888317
sub-pl002,sub-pl002,58,45.02286186
sub-pl002,sub-pl002,59,45.55131643
sub-pl002,sub-pl002,60,30.261911010000002
sub-pl002,sub-pl002,61,35.44992992
sub-pl002,sub-pl002,62,43.36619048
sub-pl002,sub-pl002,63,38.95328007
sub-pl002,sub-pl002,64,21.97195953
sub-pl002,sub-pl002,65,39.73207252
sub-pl002,sub-pl002,66,34.577043689999996
sub-pl002,sub-pl002,67,45.133523479999994
sub-pl002,sub-pl002,68,37.38229683
sub-pl002,sub-pl002,69,14.27261237
sub-pl002,sub-pl002,70,44.20657244
sub-pl002,sub-pl002,71,24.41826985
sub-pl002,sub-pl002,72,44.96236771
sub-pl002,sub-pl002,73,36.72079942
sub-pl002,sub-pl002,74,38.55380462
sub-pl002,sub-pl002,75,43.48362403
sub-pl002,sub-pl002,76,14.94057258
sub-pl002,sub-pl002,77,29.0241844
sub-pl002,sub-pl002,78,43.95096779000001
sub-pl002,sub-pl002,79,12.87542265
sub-pl002,sub-pl002,80,16.46883929
sub-pl002,sub-pl002,81,35.607285860000005
sub-pl002,sub-pl002,82,25.688659620000003
sub-pl002,sub-pl002,83,38.06169329
sub-pl002,sub-pl002,84,30.989763410000002
sub-pl002,sub-pl002,85,40.886731929999996
sub-pl002,sub-pl002,86,25.20336894
sub-pl002,sub-pl002,87,55.19351272000001
sub-pl002,sub-pl002,88,10.311181920000001
sub-pl002,sub-pl002,89,8.82279569
sub-pl002,sub-pl002,90,9.235253699999998
sub-pl002,sub-pl002,91,5.442849580000001
sub-pl002,sub-pl002,92,23.07290133
sub-pl002,sub-pl002,93,15.96707121
sub-pl002,sub-pl002,94,16.1018419
sub-pl002,sub-pl002,95,19.795540530000004
sub-pl002,sub-pl002,96,19.55207791
sub-pl002,sub-pl002,97,15.24774609
sub-pl002,sub-pl002,98,17.44262144
sub-pl002,sub-pl002,99,15.639084409999999
sub-pl002,sub-pl002,100,17.10642674
sub-pl002,sub-pl002,101,26.24705122
sub-pl002,sub-pl002,102,34.63609432
sub-pl002,sub-pl002,103,40.91299753999999
sub-pl002,sub-pl002,104,61.393679389999996
sub-pl002,sub-pl002,105,56.49062489999999
sub-pl002,sub-pl002,106,54.41230364
sub-pl002,sub-pl002,107,53.74398165000001
sub-pl002,sub-pl002,108,3.553548
sub-pl002,sub-pl002,109,4.4214533199999995
sub-pl002,sub-pl002,110,1.70711663
sub-pl002,sub-pl002,111,4.34599605
sub-pl002,sub-pl002,112,4.68673209
sub-pl002,sub-pl002,113,11.077061610000001
sub-pl002,sub-pl002,114,2.100053
sub-pl002,sub-pl002,115,0.0
sub-pl002,sub-pl002,116,0.0
sub-pl002,sub-pl002,117,0.0
sub-pl002,sub-pl002,118,4.77761441
sub-pl002,sub-pl002,119,9.490715860000002
sub-pl002,sub-pl002,120,17.480990509999998
sub-pl002,sub-pl002,121,29.243055589999997
sub-pl002,sub-pl002,122,23.28959291
sub-pl002,sub-pl002,123,12.231232949999999
sub-pl002,sub-pl002,124,14.548786920000001
sub-pl002,sub-pl002,125,24.371328030000004
sub-pl002,sub-pl002,126,36.26380413
sub-pl002,sub-pl002,127,20.437757480000002
sub-pl002,sub-pl002,128,31.582450710000003
sub-pl002,sub-pl002,129,27.31436781
sub-pl002,sub-pl002,130,15.82103205
sub-pl002,sub-pl002,131,17.263351099999998
sub-pl002,sub-pl002,132,30.37866567
sub-pl002,sub-pl002,133,17.08150065
sub-pl002,sub-pl002,134,51.6468023
sub-pl002,sub-pl002,135,48.37679616
sub-pl002,sub-pl002,136,49.7866092
sub-pl002,sub-pl002,137,43.13937131
sub-pl002,sub-pl002,138,50.49271344
sub-pl002,sub-pl002,139,56.35355548
sub-pl002,sub-pl002,140,56.634072610000004
sub-pl002,sub-pl002,141,57.78760775
sub-pl002,sub-pl002,142,72.45505554
sub-pl002,sub-pl002,143,58.52997288
sub-pl002,sub-pl002,144,57.7729942
sub-pl002,sub-pl002,145,71.08974676999999
sub-pl002,sub-pl002,146,19.685835450000003
sub-pl002,sub-pl002,147,19.00936388
sub-pl002,sub-pl002,148,27.769035979999998
sub-pl002,sub-pl002,149,27.110547670000003
sub-pl002,sub-pl002,150,57.383373230000004
sub-pl002,sub-pl002,151,64.5278905
sub-pl002,sub-pl002,152,41.47222563
sub-pl002,sub-pl002,153,35.38492911
sub-pl002,sub-pl002,154,41.74754273
